No,Tanggal,Waktu (UTC),Lintang,Bujur,Kedalaman,Magnitude,Keterangan,Dirasakan
50,2026-02-02,13:39:52,-7.75,115.89,307,2.9,77 km BaratLaut Kab. Lombok Utara-NTB,
668,2026-02-24,14:43:49,-7.33,116.74,509,3.5,125 km TimurLaut Kab. Lombok Utara-NTB,
