118.0764  -9.23  12.6  2.75
117.8113  -8.17  24.4  2.33
117.7721  -8.23  21.7  2.23
117.7562  -8.23  28.1  2.48
117.7019  -8.09  10.0  3.68
115.5278  -9.26  62.5  4.78
116.2108  -8.41  10.7  2.38
116.7821  -8.07  37.6  2.6
117.7546  -8.18  20.5  2.54
117.783  -8.21  10.5  2.3
117.9786  -8.73  10.0  1.62
117.9935  -8.83  13.5  1.84
116.5341  -9.37  59.2  2.54
117.7793  -8.37  10.0  2.09
114.5718  -8.47  105.8  1.98
117.7168  -8.65  10.4  2.1
115.3957  -8.46  12.9  1.67
115.4497  -8.5  14.1  1.18
115.4348  -8.52  10.0  1.37
115.5366  -8.66  10.0  2.07
118.5912  -8.35  24.6  1.85
118.0789  -9.41  20.3  2.14
115.9956  -8.53  17.2  2.0
117.6667  -8.3  10.0  2.17
116.339  -8.57  95.6  1.54
117.684  -8.13  10.0  2.51
117.7405  -8.18  10.0  2.31
115.731  -9.31  42.8  2.52
114.781  -8.21  10.6  1.48
118.1861  -10.99  10.0  3.22
117.3304  -8.25  294.1  3.31
117.7539  -8.23  20.2  2.64
117.6626  -7.92  21.4  2.36
117.7642  -8.23  24.8  2.29
118.3587  -8.49  116.1  2.29
116.8273  -8.65  44.3  1.58
118.044  -9.65  19.3  2.27
116.8593  -8.61  20.6  2.16
117.7668  -8.27  23.3  2.05
117.4768  -7.94  12.7  2.51
117.7062  -8.18  10.5  2.08
117.8236  -8.2  23.8  2.22
117.6879  -8.21  11.6  2.25
117.6614  -7.96  10.3  2.1
117.7477  -8.27  21.0  2.01
116.3331  -8.78  92.8  4.14
118.6556  -8.42  35.2  1.85
117.6603  -8.19  10.0  2.06
116.0415  -8.47  16.3  2.13
117.372  -9.55  19.4  2.92
117.9993  -8.35  173.4  3.51
117.9183  -8.23  26.1  2.58
116.7889  -8.59  10.6  1.86
117.5418  -10.08  110.1  2.6
117.2042  -8.83  140.8  2.45
117.7632  -8.11  15.4  3.29
117.3903  -7.93  16.6  3.14
117.6716  -9.48  23.8  2.63
116.582  -9.52  37.5  2.65
116.5925  -9.38  58.5  2.58
116.6282  -8.34  10.0  2.19
116.1821  -9.65  21.5  3.07
117.7837  -8.6  31.2  2.56
118.0377  -7.83  12.5  3.01
117.6801  -8.13  10.0  2.32
117.6536  -7.92  10.0  2.52
118.8012  -8.33  147.1  3.01
116.8753  -8.86  10.0  2.5
117.0002  -8.38  27.6  2.41
117.7528  -8.22  27.3  2.49
116.0176  -9.37  36.0  2.73
118.7457  -8.66  10.0  2.3
116.5053  -8.3  20.2  2.22
117.6579  -9.47  19.7  2.48
118.142  -9.78  18.8  3.34
117.7461  -8.36  10.0  2.34
117.6004  -10.23  49.3  3.15
117.5384  -7.52  11.0  2.76
119.1926  -8.71  10.0  2.17
117.1379  -8.81  148.9  2.31
117.6758  -8.22  10.0  2.24
117.819  -11.21  65.5  3.58
117.8532  -8.16  12.6  2.82
117.4708  -8.98  23.8  1.92
118.4787  -8.13  14.4  2.38
117.759  -8.16  10.0  2.09
119.1115  -8.93  10.0  2.44
118.1267  -8.35  123.2  2.33
117.7181  -7.98  36.0  2.66
117.7083  -8.17  25.6  2.87
117.5204  -8.32  10.0  3.51
118.1365  -8.84  11.4  3.1
118.126  -9.07  26.0  2.74
117.7035  -8.2  24.6  2.81
117.5254  -8.35  12.8  2.81
119.0326  -7.78  36.5  2.97
117.5178  -8.4  10.0  2.89
118.7243  -7.79  37.4  2.66
117.7914  -8.15  10.0  2.1
117.5255  -8.4  10.0  2.12
116.5574  -8.48  95.9  1.8
117.6977  -8.16  13.9  2.01
117.8036  -8.37  52.5  2.07
118.0932  -8.72  11.3  2.34
118.0465  -8.59  118.8  2.2
118.142  -8.84  14.7  2.03
117.5639  -8.34  10.0  2.14
115.9697  -9.05  75.1  2.47
117.8675  -8.06  23.1  2.72
114.773  -8.22  10.9  1.32
117.7433  -9.19  31.2  2.19
117.7776  -8.12  10.0  2.08
118.9162  -7.88  28.6  2.54
118.2288  -8.67  10.0  2.02
117.6826  -8.24  18.0  2.18
117.7504  -8.19  17.4  2.64
116.9022  -8.48  10.0  2.41
116.1213  -8.68  92.6  2.69
119.0218  -7.84  36.3  2.87
117.8357  -8.18  10.0  2.42
117.8439  -8.58  10.0  1.68
117.8366  -8.18  13.9  2.43
117.1459  -8.55  10.0  2.17
118.3973  -8.48  113.2  2.69
117.8197  -8.18  24.1  2.0
117.8066  -8.11  10.0  2.14
117.6749  -8.13  11.3  2.84
117.2291  -8.02  15.6  2.88
117.8982  -8.41  56.0  2.56
118.5462  -7.7  28.8  2.89
117.6141  -8.51  121.7  2.44
116.075  -8.57  18.4  2.36
117.7837  -8.09  19.7  3.13
117.7955  -8.13  10.0  2.98
114.7847  -8.22  11.5  1.35
117.7175  -8.06  10.4  2.67
117.9796  -7.77  15.0  2.55
114.9573  -8.28  12.9  2.14
117.8229  -8.18  10.5  2.88
117.9071  -8.33  35.7  2.71
117.9349  -8.28  53.2  2.78
117.8141  -8.29  42.6  2.53
117.8181  -8.24  27.8  2.65
117.8132  -8.15  12.6  2.69
117.6438  -8.15  14.2  2.86
117.8176  -8.31  16.6  2.79
117.4732  -9.55  27.2  3.37
114.8539  -8.53  148.2  2.51
115.1734  -9.56  28.6  2.81
117.8071  -8.71  10.0  1.99
117.7407  -8.15  10.0  2.3
116.7718  -9.6  10.0  2.85
118.544  -7.51  10.6  2.68
117.8  -8.11  10.0  3.1
118.9316  -8.51  134.2  2.79
117.2193  -7.79  10.0  3.57
116.929  -8.49  14.1  2.59
117.811  -8.76  10.2  3.09
117.743  -8.12  13.3  2.69
117.1862  -7.99  19.1  2.84
118.2672  -8.77  138.7  3.03
118.6399  -8.48  23.8  2.66
117.2265  -8.88  130.5  2.3
118.3674  -9.47  19.4  3.16
