396.561937012	25	2.2
180.703660921	15	2.8
250.609166303	40	2.5
310.50809852	10	2.2
140.823885423	10	4.5
362.339861842	20	2.1
382.445082729	16	2.4
388.985848311	10	2.3
349.616780657	153	2.4
437.003470946	26	2.6
256.625421299	52	2.8
369.549394488	17	2.5
358.1345103	29	2.6
247.380632233	32	3.5
351.268468749	8	2.3
306.414864569	28	2.4
342.286577282	103	2.2
364.376105687	14	3.1
321.958278372	90	2.2
335.080437504	11	3.6
448.188205093	29	2.5
331.543217981	9	3.5
335.297973249	12	2.1
347.69223475	107	2.2
70.3877119871	10	3.2
383.138094827	10	2
320.373160548	10	2
353.907734583	17	1.7
352.907812407	10	2.2
327.562067465	220	2
246.076459102	25	2.4
322.465247495	137	2.1
330.06214146	104	1.7
276.983943652	10	2.5
397.669381832	23	2.4
323.092984682	138	3.2
381.573819237	20	2.7
231.788186556	21	2.4
389.290310453	10	2.2
410.440739291	12	2.1
375.623553885	59	2.1
324.278747999	112	1.9
333.479146965	10	1.6
228.123602136	26	2.7
240.266708437	24	2.2
385.767266595	34	2
294.795204609	11	1.9
292.76551494	22	1.8
382.578119439	20	2.4
415.925357189	307	2.9
269.545958927	23	2
366.298694836	47	1.9
324.450316994	18	1.8
356.524897367	13	3.1
379.255646215	24	2.3
329.211733928	114	1.8
379.049218781	14	1.9
382.784488615	10	2.1
363.377212288	10	4.4
358.633553098	10	4
313.189871428	134	2.1
274.875122761	10	2.2
359.529864353	10	2.2
356.524897367	10	2
370.172457662	16	1.8
379.358820204	22	1.9
329.797084881	110	1.8
392.028748477	17	2.3
362.399772778	25	1.8
356.419629768	12	3.4
230.962657561	31	2.5
381.573819237	10	2.1
302.999088293	10	2
349.745158385	14	1.8
347.722574875	28	2.3
311.615054797	10	2.1
372.618294354	28	2.4
385.073864393	10	2.2
321.331507591	10	1.7
296.952681777	34	2
353.08036641	10	1.9
249.502055339	36	2.8
335.418615371	12	1.8
381.88323034	65	2.2
248.082035732	40	2.3
383.685608478	26	2.9
359.951054491	10	2.7
80.9348142255	11	3.3
240.749338979	26	2.3
78.7179019616	10	3
448.610786728	10	2.4
366.972516775	110	1.9
335.113048027	80	1.7
400.222342727	10	2.3
331.975553882	104	2.5
414.79776351	10	2.3
440.024363385	27	3.2
321.779365753	94	2.4
230.769089867	28	2.5
