Tanggal;Waktu (WIB);Lintang;Bujur;Kedalaman;Magnitude;Keterangan;Dirasakan
15/03/2024;20:40:45;-9.09;115.95;75;2.7;49 km BaratDaya LOMBOKBARAT-NTB;
16/03/2024;23:43:51;-8.54;114.38;84;2.4;32 km BaratDaya JEMBRANA-BALI;
17/03/2024;15:17:18;-8.61;115.04;87;2.3;12 km BaratDaya TABANAN-BALI;
17/03/2024;12:52:05;-8.72;116.39;95;2.8;13 km Tenggara LOMBOKTENGAH-NTB;
18/03/2024;21:44:31;-8.56;115.89;96;2.7;30 km BaratLaut LOMBOKBARAT-NTB;
19/03/2024;03:23:17;-8.16;115.81;246;3.3;38 km TimurLaut KARANGASEM-BALI;
20/03/2024;03:20:33;-9.06;114.55;63;3.7;79 km BaratDaya JEMBRANA-BALI;
21/03/2024;02:07:40;-8.67;116.23;90;2.4;5 km BaratLaut LOMBOKTENGAH-NTB;
22/03/2024;20:41:53;-8.58;116.21;99;1.4;13 km TimurLaut LOMBOKBARAT-NTB;
23/03/2024;06:26:48;-8.62;116.26;85;2.1;9 km BaratLaut LOMBOKTENGAH-NTB;
23/03/2024;01:08:37;-8.81;115.28;89;2.5;6 km Tenggara KUTASELATAN-BALI;
23/03/2024;04:23:56;-8.94;117.1;134;2.9;34 km Tenggara SUMBAWABARAT-NTB;
25/03/2024;08:47:23;-11.02;116.7;72;3.5;252 km BaratDaya SUMBAWABARAT-NTB;
26/03/2024;02:18:57;-8.62;116.34;89;2.3;12 km TimurLaut LOMBOKTENGAH-NTB;
27/03/2024;03:16:42;-8.04;114.41;161;2.6;20 km TimurLaut BANYUWANGI-JATIM;
28/03/2024;20:12:18;-8.65;116.26;95;2.6;6 km BaratLaut LOMBOKTENGAH-NTB;
30/03/2024;05:19:02;-8.52;116.34;89;1.9;22 km TimurLaut LOMBOKTENGAH-NTB;
30/03/2024;03:59:34;-8.7;116.55;111;3;5 km Tenggara LOMBOKTIMUR-NTB;
31/03/2024;18:37:47;-7.92;117.31;283;2.6;64 km BaratLaut SUMBAWA-NTB;
02/04/2024;12:08:50;-8.86;116.89;90;2.3;12 km Tenggara SUMBAWABARAT-NTB;
04/04/2024;08:54:35;-8.58;116.18;78;1.9;12 km TimurLaut LOMBOKBARAT-NTB;
07/04/2024;09:19:02;-8.72;116.09;85;2.5;6 km BaratDaya LOMBOKBARAT-NTB;
08/04/2024;07:53:00;-8.94;115.84;75;2.3;43 km BaratDaya LOMBOKBARAT-NTB;
08/04/2024;21:16:46;-8.69;116.22;85;2;5 km BaratLaut LOMBOKTENGAH-NTB;
09/04/2024;22:04:39;-8.7;116.26;98;3.7;1 km BaratLaut LOMBOKTENGAH-NTB;
09/04/2024;00:44:51;-7.81;116.07;201;2.4;61 km BaratLaut LOMBOKUTARA-NTB;
10/04/2024;10:56:59;-8.63;116.07;93;2.1;9 km BaratLaut LOMBOKBARAT-NTB;
12/04/2024;01:12:53;-8.77;115.17;108;2.8;6 km BaratLaut KUTASELATAN-BALI;
13/04/2024;08:49:49;-8.74;116.61;176;2.9;13 km Tenggara LOMBOKTIMUR-NTB;
14/04/2024;08:29:55;-8.67;116.11;87;2.8;3 km BaratLaut LOMBOKBARAT-NTB;
16/04/2024;22:29:14;-8.66;116.09;88;2;5 km BaratLaut LOMBOKBARAT-NTB;
16/04/2024;08:45:50;-8.59;114.96;95;3.4;18 km BaratDaya TABANAN-BALI;
16/04/2024;03:55:11;-8.64;116.24;98;1.9;8 km BaratLaut LOMBOKTENGAH-NTB;
16/04/2024;09:43:24;-8.62;115.7;101;3.2;34 km Tenggara KLUNGKUNG-BALI;
20/04/2024;13:23:57;-9.55;116.68;71;2.8;90 km BaratDaya SUMBAWABARAT-NTB;
20/04/2024;01:14:58;-8.9;115.43;84;2.3;25 km Tenggara KUTASELATAN-BALI;
20/04/2024;03:17:48;-8.65;116.26;95;1.7;6 km BaratLaut LOMBOKTENGAH-NTB;
21/04/2024;01:15:02;-8.71;115.85;88;2;32 km BaratDaya LOMBOKBARAT-NTB;
21/04/2024;16:36:27;-8.36;114.67;108;2.7;8 km Tenggara JEMBRANA-BALI;
22/04/2024;09:26:07;-8.48;116.08;69;2.2;16 km BaratDaya LOMBOKUTARA-NTB;
23/04/2024;22:26:30;-8.55;114.94;92;2.6;20 km BaratDaya TABANAN-BALI;
24/04/2024;00:16:49;-8.29;114.73;218;2.9;16 km TimurLaut JEMBRANA-BALI;
25/04/2024;20:32:15;-8.62;116.1;98;1.8;8 km BaratLaut LOMBOKBARAT-NTB;
25/04/2024;20:46:14;-8.65;116.3;100;1.6;7 km TimurLaut LOMBOKTENGAH-NTB;
26/04/2024;08:12:39;-9.06;115.06;72;2.5;34 km BaratDaya KUTASELATAN-BALI;
27/04/2024;13:59:36;-8.66;116.63;118;2.2;11 km Tenggara LOMBOKTIMUR-NTB;
29/04/2024;13:52:15;-9.09;115.64;70;3;56 km Tenggara KUTASELATAN-BALI;
02/05/2024;00:40:58;-9.08;116.1;88;2;44 km BaratDaya LOMBOKBARAT-NTB;
02/05/2024;22:08:31;-8.71;115.03;100;3.3;21 km BaratDaya BADUNG-BALI;
02/05/2024;14:16:22;-8.68;115.34;101;2.6;15 km Tenggara GIANYAR-BALI;
02/05/2024;02:20:46;-8.53;115.13;124;2.2;1 km TimurLaut TABANAN-BALI;
03/05/2024;22:55:33;-8.63;116.24;95;2.1;9 km BaratLaut LOMBOKTENGAH-NTB;
03/05/2024;23:31:36;-8.54;116.62;283;2.6;15 km TimurLaut LOMBOKTIMUR-NTB;
05/05/2024;01:08:00;-8.71;116.92;133;2.7;8 km TimurLaut SUMBAWABARAT-NTB;
07/05/2024;19:14:04;-8.58;116.22;102;2.4;14 km TimurLaut LOMBOKBARAT-NTB;
09/05/2024;01:05:17;-8.64;116.19;93;2;7 km TimurLaut LOMBOKBARAT-NTB;
