No,Tanggal,Waktu (WIB),Lintang,Bujur,Kedalaman,Magnitude,Keterangan,Dirasakan
5,2026-04-01,17:41:17,-8.96,115.23,91,2.5,18 km Selatan KUTASELATAN-BALI,
7,2026-04-02,00:03:27,-8.26,114.99,148,2.6,20 km BaratDaya BULELENG-BALI,
9,2026-04-02,15:26:10,-9.4,115.34,90,2.7,68 km Selatan KUTASELATAN-BALI,
21,2026-04-03,09:41:13,-8.71,117.1,142,2.5,28 km Timur SUMBAWABARAT-NTB,
29,2026-04-04,04:16:41,-8.73,116.74,98,1.9,13 km Barat SUMBAWABARAT-NTB,
31,2026-04-04,10:30:16,-8.67,116.02,88,2.0,13 km Barat LOMBOKBARAT-NTB,
39,2026-04-05,22:21:05,-8.74,116.1,93,2.1,8 km BaratDaya LOMBOKBARAT-NTB,
