No,Tanggal,Waktu (WIB),Lintang,Bujur,Kedalaman,Magnitude,Keterangan,Dirasakan
409,2026-01-11,02:17:16,-8.46,115.82,36,2.0,22 km Timur Kab. Karangasem-Bali,
410,2026-01-11,02:21:37,-8.48,115.81,38,1.8,22 km Timur Kab. Karangasem-Bali,
411,2026-01-11,02:27:31,-8.45,115.74,47,1.7,14 km Timur Kab. Karangasem-Bali,
412,2026-01-11,02:50:26,-8.51,115.81,33,1.9,22 km Timur Kab. Karangasem-Bali,
413,2026-01-11,02:57:13,-8.47,115.81,29,2.0,21 km Timur Kab. Karangasem-Bali,
414,2026-01-11,03:05:55,-8.49,115.82,31,1.9,23 km Timur Kab. Karangasem-Bali,
415,2026-01-11,03:09:36,-8.46,115.81,29,1.8,21 km Timur Kab. Karangasem-Bali,
416,2026-01-11,03:13:10,-8.47,115.79,32,2.0,19 km Timur Kab. Karangasem-Bali,
417,2026-01-11,03:57:45,-8.48,115.81,31,2.0,22 km Timur Kab. Karangasem-Bali,
418,2026-01-11,04:38:32,-8.53,115.79,35,2.1,21 km Tenggara Kab. Karangasem-Bali,
419,2026-01-11,05:04:44,-8.45,115.81,30,2.0,21 km Timur Kab. Karangasem-Bali,
420,2026-01-11,09:41:54,-8.48,115.8,34,2.3,21 km Timur Kab. Karangasem-Bali,
421,2026-01-11,11:49:51,-11.14,116.07,10,3.6,271 km Selatan Kab. Lombok Tengah-NTB,
422,2026-01-11,13:00:43,-8.42,115.85,10,2.4,26 km Timur Kab. Karangasem-Bali,
423,2026-01-11,15:21:55,-8.9,116.87,10,2.3,17 km Selatan Kab. Sumbawa Barat-NTB,
424,2026-01-11,15:47:04,-8.53,115.79,35,2.1,21 km Tenggara Kab. Karangasem-Bali,
425,2026-01-11,18:13:14,-9.14,114.14,29,2.6,102 km BaratDaya Kab. Jembrana-Bali,
426,2026-01-11,18:41:45,-8.5,115.83,35,2.0,24 km Timur Kab. Karangasem-Bali,
427,2026-01-11,19:12:09,-8.44,115.82,33,2.0,22 km Timur Kab. Karangasem-Bali,
428,2026-01-11,19:28:33,-9.43,114.91,22,2.4,90 km Selatan Kota Denpasar-Bali,
429,2026-01-11,20:42:48,-8.51,115.81,30,1.9,22 km Timur Kab. Karangasem-Bali,
430,2026-01-11,20:56:23,-8.82,117.23,20,1.6,42 km BaratDaya Kab. Sumbawa-NTB,
431,2026-01-11,21:14:00,-9.62,116.42,19,2.6,103 km Selatan Kab. Lombok Tengah-NTB,
432,2026-01-11,21:22:53,-8.37,115.79,26,1.9,21 km TimurLaut Kab. Karangasem-Bali,
433,2026-01-11,21:29:11,-8.12,117.24,10,2.2,46 km BaratLaut Kab. Sumbawa-NTB,
434,2026-01-11,22:13:27,-8.38,115.83,29,1.7,25 km Timur Kab. Karangasem-Bali,
435,2026-01-11,22:53:24,-8.41,115.85,29,2.0,26 km Timur Kab. Karangasem-Bali,
436,2026-01-11,23:42:33,-8.51,115.68,49,1.6,10 km Tenggara Kab. Karangasem-Bali,
437,2026-01-12,00:00:55,-8.44,115.83,38,1.9,24 km Timur Kab. Karangasem-Bali,
439,2026-01-12,00:07:04,-8.47,115.79,51,1.6,19 km Timur Kab. Karangasem-Bali,
440,2026-01-12,00:35:01,-8.46,115.83,32,1.7,24 km Timur Kab. Karangasem-Bali,
441,2026-01-12,00:53:33,-8.53,115.79,26,1.5,21 km Tenggara Kab. Karangasem-Bali,
442,2026-01-12,01:30:00,-9.43,114.04,20,2.9,135 km BaratDaya Kab. Jembrana-Bali,
443,2026-01-12,01:39:03,-9.18,113.95,23,2.9,114 km Selatan Kab. Jember-Jawa Timur,
444,2026-01-12,03:32:06,-8.46,115.79,33,1.7,19 km Timur Kab. Karangasem-Bali,
445,2026-01-12,05:32:24,-7.95,114.19,9,2.3,34 km Tenggara Kab. Situbondo-Jawa Timur,
446,2026-01-12,06:46:36,-9.22,116.68,10,2.8,54 km Selatan Kab. Sumbawa Barat-NTB,
448,2026-01-12,11:24:22,-9.18,114.4,16,2.4,94 km Selatan Kab. Jembrana-Bali,
449,2026-01-12,12:25:50,-8.46,116.55,25,1.7,22 km Utara Kab. Lombok Timur-NTB,
450,2026-01-12,13:05:28,-8.91,116.84,10,2.5,18 km Selatan Kab. Sumbawa Barat-NTB,
451,2026-01-12,21:17:12,-8.13,116.5,20,2.5,37 km TimurLaut Kab. Lombok Utara-NTB,
452,2026-01-13,01:10:14,-8.06,117.28,10,2.0,50 km Utara Kab. Sumbawa-NTB,
453,2026-01-13,03:37:51,-8.03,114.65,10,2.0,36 km Utara Kab. Jembrana-Bali,
454,2026-01-13,07:00:46,-8.51,117.29,10,2.4,14 km Barat Kab. Sumbawa-NTB,
455,2026-01-13,10:59:06,-8.84,116.84,10,2.3,10 km Selatan Kab. Sumbawa Barat-NTB,
456,2026-01-13,16:55:50,-9.39,114.0,19,3.5,134 km BaratDaya Kab. Jembrana-Bali,
457,2026-01-13,17:46:15,-9.41,113.97,21,2.7,137 km BaratDaya Kab. Jembrana-Bali,
458,2026-01-13,18:03:39,-9.73,117.03,24,2.6,111 km Selatan Kab. Sumbawa Barat-NTB,
459,2026-01-13,18:19:38,-8.45,117.19,11,2.3,26 km Barat Kab. Sumbawa-NTB,
460,2026-01-13,22:51:30,-8.39,115.79,22,1.9,20 km Timur Kab. Karangasem-Bali,
461,2026-01-14,00:30:55,-9.42,115.91,33,2.5,86 km Selatan Kab. Lombok Barat-NTB,
462,2026-01-14,01:25:50,-9.35,113.99,22,2.7,130 km BaratDaya Kab. Jembrana-Bali,
463,2026-01-14,01:27:17,-9.42,115.98,13,2.5,84 km Selatan Kab. Lombok Barat-NTB,
464,2026-01-14,01:37:54,-9.38,115.18,37,2.5,79 km Selatan Kota Denpasar-Bali,
465,2026-01-14,02:35:01,-9.44,116.3,29,2.5,82 km Selatan Kab. Lombok Tengah-NTB,
466,2026-01-14,04:10:42,-8.61,116.7,13,1.8,20 km Timur Kab. Lombok Timur-NTB,
468,2026-01-14,12:08:16,-8.85,117.05,10,2.7,28 km Tenggara Kab. Sumbawa Barat-NTB,
469,2026-01-14,12:17:10,-8.48,117.12,10,2.6,33 km Barat Kab. Sumbawa-NTB,
470,2026-01-14,17:57:01,-9.29,115.52,55,3.2,76 km Tenggara Kota Denpasar-Bali,
472,2026-01-14,18:30:24,-9.33,115.54,47,2.9,81 km Tenggara Kota Denpasar-Bali,
473,2026-01-14,21:18:29,-8.57,115.82,40,2.1,26 km Tenggara Kab. Karangasem-Bali,
475,2026-01-14,22:06:30,-9.54,116.68,10,2.6,88 km Selatan Kab. Sumbawa Barat-NTB,
476,2026-01-14,22:16:59,-8.49,117.13,10,2.4,32 km Barat Kab. Sumbawa-NTB,
477,2026-01-14,22:21:12,-9.53,116.56,18,2.7,90 km Selatan Kab. Sumbawa Barat-NTB,
478,2026-01-14,23:48:11,-8.47,117.14,12,2.0,31 km Barat Kab. Sumbawa-NTB,
479,2026-01-15,03:06:24,-8.98,116.96,35,2.4,30 km Tenggara Kab. Sumbawa Barat-NTB,
480,2026-01-15,16:44:56,-8.47,116.59,15,2.4,21 km Utara Kab. Lombok Timur-NTB,
481,2026-01-16,00:25:04,-11.12,116.96,10,3.6,262 km Selatan Kab. Sumbawa Barat-NTB,
482,2026-01-16,01:29:58,-9.54,117.19,25,2.7,96 km Tenggara Kab. Sumbawa Barat-NTB,
483,2026-01-16,01:31:36,-11.23,114.77,10,3.8,287 km Selatan Kota Denpasar-Bali,
484,2026-01-16,02:54:37,-9.4,117.17,26,2.5,81 km Tenggara Kab. Sumbawa Barat-NTB,
486,2026-01-16,03:42:45,-8.52,116.88,20,2.3,27 km Utara Kab. Sumbawa Barat-NTB,
487,2026-01-16,03:59:57,-9.5,117.22,12,2.6,94 km Tenggara Kab. Sumbawa Barat-NTB,
489,2026-01-16,10:41:35,-8.91,116.82,41,2.1,17 km Selatan Kab. Sumbawa Barat-NTB,
491,2026-01-16,12:33:14,-8.28,116.65,10,2.8,34 km Barat Laut Pulau Panjang-NTB,dirasakan di wilayah Lombok Timur II MMI
492,2026-01-16,15:16:43,-9.44,115.91,32,2.6,88 km Selatan Kab. Lombok Barat-NTB,
493,2026-01-16,16:32:25,-8.37,116.52,10,2.4,30 km Timur Kab. Lombok Utara-NTB,
494,2026-01-16,20:43:05,-9.57,116.23,39,2.6,96 km Selatan Kab. Lombok Tengah-NTB,
495,2026-01-16,22:53:16,-9.53,116.87,19,2.7,86 km Selatan Kab. Sumbawa Barat-NTB,
496,2026-01-16,23:37:14,-7.97,114.18,13,2.0,35 km BaratLaut Kab. Banyuwangi-Jawa Timur,
497,2026-01-17,00:05:15,-9.23,114.03,29,2.7,117 km BaratDaya Kab. Jembrana-Bali,
498,2026-01-17,00:23:57,-9.76,116.54,10,2.6,115 km Selatan Kab. Sumbawa Barat-NTB,
499,2026-01-17,19:18:45,-9.47,115.21,25,2.6,88 km Selatan Kota Denpasar-Bali,
500,2026-01-17,19:20:08,-8.38,115.76,10,2.5,18 km TimurLaut Kab. Karangasem-Bali,
501,2026-01-17,21:27:53,-8.67,116.61,15,2.2,10 km Timur Kab. Lombok Timur-NTB,
502,2026-01-17,22:26:45,-7.96,117.18,10,2.5,65 km BaratLaut Kab. Sumbawa-NTB,
503,2026-01-17,22:41:01,-9.46,117.29,24,2.4,94 km Tenggara Kab. Sumbawa Barat-NTB,
504,2026-01-18,01:08:10,-9.45,116.98,38,2.2,79 km Selatan Kab. Sumbawa Barat-NTB,
505,2026-01-18,02:05:28,-9.03,116.94,11,2.3,33 km Tenggara Kab. Sumbawa Barat-NTB,
506,2026-01-18,02:08:12,-8.45,115.75,41,1.7,15 km Timur Kab. Karangasem-Bali,
507,2026-01-18,02:34:25,-8.4,115.74,37,2.0,15 km Timur Kab. Karangasem-Bali,
508,2026-01-18,03:29:18,-8.48,115.77,52,1.7,17 km Timur Kab. Karangasem-Bali,
509,2026-01-18,03:41:36,-8.42,115.77,49,2.8,17 km Timur Kab. Karangasem-Bali,
510,2026-01-18,03:46:02,-8.18,114.27,28,1.9,12 km Barat Kab. Banyuwangi-Jawa Timur,
511,2026-01-18,03:57:07,-8.53,115.75,25,2.3,17 km Tenggara Kab. Karangasem-Bali,
512,2026-01-18,04:36:07,-8.4,115.77,23,1.7,18 km Timur Kab. Karangasem-Bali,
513,2026-01-18,11:26:10,-8.36,115.14,16,1.9,20 km Utara Kab. Tabanan-Bali,
514,2026-01-18,11:38:00,-8.86,116.93,10,2.1,17 km Tenggara Kab. Sumbawa Barat-NTB,
515,2026-01-18,11:40:47,-8.82,116.18,20,2.3,17 km Selatan Kab. Lombok Barat-NTB,
516,2026-01-18,12:41:21,-8.24,114.71,15,1.5,16 km TimurLaut Kab. Jembrana-Bali,
517,2026-01-18,12:45:20,-9.03,116.94,11,2.0,33 km Tenggara Kab. Sumbawa Barat-NTB,
518,2026-01-18,14:59:11,-8.91,116.89,10,2.2,19 km Tenggara Kab. Sumbawa Barat-NTB,
520,2026-01-18,18:18:54,-9.5,116.05,35,3.1,91 km Selatan Kab. Lombok Barat-NTB,
521,2026-01-18,18:41:59,-9.47,117.05,33,2.2,83 km Selatan Kab. Sumbawa Barat-NTB,
522,2026-01-18,20:10:46,-8.34,116.23,22,2.1,2 km BaratLaut Kab. Lombok Utara-NTB,
523,2026-01-19,00:20:25,-8.26,116.47,19,1.9,26 km TimurLaut Kab. Lombok Utara-NTB,
525,2026-01-19,04:30:02,-9.26,114.0,22,2.4,122 km BaratDaya Kab. Jembrana-Bali,
526,2026-01-19,04:49:25,-8.67,116.18,14,1.5,5 km Timur Kab. Lombok Barat-NTB,
527,2026-01-19,11:23:42,-8.47,116.37,11,2.1,19 km Tenggara Kab. Lombok Utara-NTB,
529,2026-01-19,18:49:07,-8.63,116.81,10,2.0,14 km Utara Kab. Sumbawa Barat-NTB,
530,2026-01-19,23:21:30,-8.53,116.07,18,2.0,8 km BaratLaut Kota Mataram-NTB,
532,2026-01-20,03:18:02,-7.93,117.28,20,2.3,64 km Utara Kab. Sumbawa-NTB,
534,2026-01-20,05:29:54,-9.28,114.1,26,2.5,118 km BaratDaya Kab. Jembrana-Bali,
537,2026-01-20,11:24:03,-8.87,116.9,10,2.6,16 km Tenggara Kab. Sumbawa Barat-NTB,
538,2026-01-20,14:03:05,-8.47,116.05,10,2.5,15 km Utara Kota Mataram-NTB,
539,2026-01-20,14:04:33,-8.36,114.93,14,2.3,29 km BaratLaut Kab. Tabanan-Bali,
540,2026-01-20,16:58:50,-8.59,116.15,13,2.1,6 km Timur Kota Mataram-NTB,
541,2026-01-20,17:39:32,-8.35,116.84,10,2.3,45 km Utara Kab. Sumbawa Barat-NTB,
542,2026-01-20,22:33:59,-9.54,116.18,17,3.1,93 km Selatan Kab. Lombok Tengah-NTB,
543,2026-01-20,23:35:25,-7.97,114.16,16,2.4,34 km Tenggara Kab. Situbondo-Jawa Timur,
544,2026-01-21,01:30:21,-8.48,116.9,16,1.2,32 km Utara Kab. Sumbawa Barat-NTB,
545,2026-01-21,01:32:15,-8.41,117.12,14,2.2,34 km Barat Kab. Sumbawa-NTB,
546,2026-01-21,03:53:23,-9.33,115.44,33,3.1,77 km Selatan Kota Denpasar-Bali,
547,2026-01-21,06:19:21,-8.41,116.88,10,2.8,39 km Utara Kab. Sumbawa Barat-NTB,
548,2026-01-21,06:42:09,-9.35,115.17,30,3.6,75 km Selatan Kota Denpasar-Bali,
549,2026-01-21,08:41:24,-8.45,117.23,13,3.5,21 km Barat Kab. Sumbawa-NTB,
550,2026-01-21,08:45:45,-10.62,115.25,10,3.6,216 km Selatan Kota Denpasar-Bali,
553,2026-01-21,14:31:25,-8.38,117.04,10,2.4,44 km Barat Kab. Sumbawa-NTB,
555,2026-01-22,01:27:31,-9.3,114.28,28,2.9,111 km Selatan Kab. Jembrana-Bali,
556,2026-01-22,11:02:23,-8.93,116.85,10,2.8,20 km Selatan Kab. Sumbawa Barat-NTB,
558,2026-01-22,15:05:39,-9.33,116.31,26,2.9,70 km Selatan Kab. Lombok Tengah-NTB,
559,2026-01-22,16:44:21,-8.4,116.8,18,2.3,39 km Utara Kab. Sumbawa Barat-NTB,
560,2026-01-22,19:17:18,-10.25,117.06,10,3.3,168 km Selatan Kab. Sumbawa Barat-NTB,
561,2026-01-22,21:33:28,-8.94,116.24,16,2.4,27 km Selatan Kab. Lombok Tengah-NTB,
562,2026-01-22,23:32:04,-8.45,117.09,12,2.7,37 km Barat Kab. Sumbawa-NTB,
564,2026-01-23,03:11:34,-8.67,116.58,16,1.9,6 km Timur Kab. Lombok Timur-NTB,
565,2026-01-23,09:03:58,-8.94,116.86,10,2.3,21 km Selatan Kab. Sumbawa Barat-NTB,
566,2026-01-23,10:37:42,-8.91,116.86,12,2.7,18 km Selatan Kab. Sumbawa Barat-NTB,
567,2026-01-23,13:39:20,-8.35,114.62,10,2.2,1 km BaratLaut Kab. Jembrana-Bali,
568,2026-01-23,17:30:17,-8.56,116.86,14,2.5,22 km Utara Kab. Sumbawa Barat-NTB,
569,2026-01-23,17:32:46,-8.26,114.97,10,1.8,21 km BaratDaya Kab. Buleleng-Bali,
570,2026-01-23,20:54:11,-9.42,114.95,30,2.6,88 km Selatan Kota Denpasar-Bali,
571,2026-01-23,21:03:22,-8.4,117.22,12,2.5,24 km BaratLaut Kab. Sumbawa-NTB,
572,2026-01-23,21:49:59,-8.69,116.47,47,1.6,7 km BaratDaya Kab. Lombok Timur-NTB,
574,2026-01-23,23:13:35,-9.61,116.56,36,3.3,99 km Selatan Kab. Sumbawa Barat-NTB,
575,2026-01-23,23:17:55,-9.61,116.49,13,2.5,101 km Selatan Kab. Sumbawa Barat-NTB,
576,2026-01-23,23:28:26,-9.66,116.56,32,2.9,104 km Selatan Kab. Sumbawa Barat-NTB,
577,2026-01-24,00:13:01,-9.57,116.54,16,2.5,95 km Selatan Kab. Sumbawa Barat-NTB,
578,2026-01-24,01:04:43,-9.37,114.28,28,2.3,118 km Selatan Kab. Jembrana-Bali,
579,2026-01-24,04:08:31,-7.92,116.4,11,2.9,51 km Utara Kab. Lombok Utara-NTB,
583,2026-01-24,11:34:07,-8.91,116.88,10,2.3,19 km Selatan Kab. Sumbawa Barat-NTB,
584,2026-01-24,15:26:30,-9.37,115.89,32,2.9,81 km Selatan Kab. Lombok Barat-NTB,
586,2026-01-24,17:33:04,-9.05,114.0,5,2.7,100 km BaratDaya Kab. Banyuwangi-Jawa Timur,
587,2026-01-24,20:25:54,-10.01,116.07,14,3.1,147 km Selatan Kab. Lombok Tengah-NTB,
588,2026-01-24,23:19:14,-9.62,115.14,12,2.5,105 km Selatan Kota Denpasar-Bali,
591,2026-01-25,01:13:36,-9.6,117.3,21,2.4,108 km Tenggara Kab. Sumbawa Barat-NTB,
592,2026-01-25,01:22:07,-7.31,114.18,11,2.6,47 km Tenggara Kab. Sumenep-Jawa Timur,
593,2026-01-25,01:58:35,-9.68,117.01,12,2.5,105 km Selatan Kab. Sumbawa Barat-NTB,
594,2026-01-25,02:19:29,-9.69,114.89,14,2.5,118 km Selatan Kota Denpasar-Bali,
595,2026-01-25,06:14:43,-8.0,116.43,11,2.2,44 km TimurLaut Kab. Lombok Utara-NTB,
596,2026-01-25,16:06:30,-7.07,115.73,8,3.5,135 km TimurLaut Kab. Buleleng-Bali,
597,2026-01-25,22:47:14,-9.69,115.17,29,2.7,113 km Selatan Kota Denpasar-Bali,
598,2026-01-26,01:41:10,-8.94,116.96,10,2.0,26 km Tenggara Kab. Sumbawa Barat-NTB,
599,2026-01-26,03:38:41,-8.66,116.21,10,1.9,9 km BaratLaut Kab. Lombok Tengah-NTB,
600,2026-01-26,08:20:35,-8.45,116.9,19,2.4,35 km Utara Kab. Sumbawa Barat-NTB,
601,2026-01-26,09:30:22,-8.38,116.51,21,2.0,29 km Timur Kab. Lombok Utara-NTB,
602,2026-01-26,11:58:04,-8.9,116.86,10,2.4,17 km Selatan Kab. Sumbawa Barat-NTB,
603,2026-01-26,12:23:18,-8.9,116.87,10,2.4,17 km Selatan Kab. Sumbawa Barat-NTB,
608,2026-01-27,00:27:28,-10.76,116.75,10,3.3,222 km Selatan Kab. Sumbawa Barat-NTB,
610,2026-01-27,02:04:01,-8.41,116.06,18,2.2,21 km Utara Kota Mataram-NTB,
611,2026-01-27,03:48:20,-9.47,115.0,31,2.6,91 km Selatan Kota Denpasar-Bali,
612,2026-01-27,09:50:04,-8.93,117.25,23,2.5,51 km Tenggara Kab. Sumbawa Barat-NTB,
615,2026-01-27,14:20:27,-7.3,114.16,15,2.8,45 km Tenggara Kab. Sumenep-Jawa Timur,
616,2026-01-27,16:13:43,-9.04,116.81,10,2.8,32 km Selatan Kab. Sumbawa Barat-NTB,
617,2026-01-27,18:48:39,-9.32,114.02,22,3.0,126 km BaratDaya Kab. Jembrana-Bali,
618,2026-01-27,18:54:21,-9.35,114.02,25,2.6,129 km BaratDaya Kab. Jembrana-Bali,
623,2026-01-28,14:31:16,-9.39,113.98,29,3.0,135 km BaratDaya Kab. Jembrana-Bali,
624,2026-01-28,17:58:34,-8.45,116.56,19,2.4,23 km Utara Kab. Lombok Timur-NTB,
626,2026-01-29,02:12:22,-9.74,116.53,14,2.6,114 km Selatan Kab. Sumbawa Barat-NTB,
627,2026-01-29,02:24:12,-8.36,116.87,10,2.1,44 km Utara Kab. Sumbawa Barat-NTB,
628,2026-01-29,04:30:42,-8.45,116.58,10,2.3,23 km Utara Kab. Lombok Timur-NTB,
630,2026-01-29,12:31:21,-8.99,116.78,10,2.7,27 km Selatan Kab. Sumbawa Barat-NTB,
631,2026-01-29,18:32:00,-8.65,116.84,10,2.3,12 km Utara Kab. Sumbawa Barat-NTB,
632,2026-01-29,19:47:27,-8.79,116.94,15,1.8,14 km Timur Kab. Sumbawa Barat-NTB,
633,2026-01-29,21:10:57,-9.51,117.09,21,2.5,89 km Selatan Kab. Sumbawa Barat-NTB,
634,2026-01-30,00:12:14,-9.5,114.06,8,2.7,141 km BaratDaya Kab. Jembrana-Bali,
636,2026-01-30,12:10:48,-8.99,116.95,10,2.4,30 km Tenggara Kab. Sumbawa Barat-NTB,
637,2026-01-30,15:50:46,-9.27,115.74,56,2.6,78 km BaratDaya Kab. Lombok Barat-NTB,
638,2026-01-30,18:44:02,-8.53,116.06,15,2.0,9 km BaratLaut Kota Mataram-NTB,
639,2026-01-30,22:46:09,-7.02,115.71,10,2.7,139 km TimurLaut Kab. Buleleng-Bali,
641,2026-01-31,04:26:57,-8.8,116.69,47,2.2,15 km Barat Kab. Sumbawa Barat-NTB,
642,2026-01-31,04:47:36,-8.4,116.84,13,2.4,39 km Utara Kab. Sumbawa Barat-NTB,
643,2026-01-31,06:08:25,-9.5,117.06,26,2.8,87 km Selatan Kab. Sumbawa Barat-NTB,
644,2026-01-31,06:38:12,-8.46,116.02,10,2.3,18 km BaratLaut Kota Mataram-NTB,
645,2026-01-31,18:21:02,-8.64,116.72,20,1.8,17 km BaratLaut Kab. Sumbawa Barat-NTB,
646,2026-01-31,19:07:42,-7.95,115.42,10,2.1,41 km TimurLaut Kab. Buleleng-Bali,
647,2026-01-31,20:50:00,-9.66,116.5,32,3.3,106 km Selatan Kab. Sumbawa Barat-NTB,
648,2026-01-31,21:10:19,-9.49,116.36,40,2.9,88 km Selatan Kab. Lombok Tengah-NTB,
649,2026-01-31,22:52:26,-8.43,117.17,20,2.2,28 km Barat Kab. Sumbawa-NTB,
650,2026-01-31,23:21:23,-9.41,117.08,37,2.5,78 km Selatan Kab. Sumbawa Barat-NTB,
