No,Tanggal,Waktu (UTC),Lintang,Bujur,Kedalaman,Magnitude,Keterangan,Dirasakan
65,2026-03-03,07:06:07,-8.13,117.6801,10.0,2.32,49 km TimurLaut Kab. Sumbawa-NTB,
66,2026-03-03,07:40:40,-7.92,117.6536,10.0,2.52,68 km Utara Kab. Sumbawa-NTB,
68,2026-03-03,08:43:25,-8.86,116.8753,10.0,2.5,13 km Tenggara Kab. Sumbawa Barat-NTB,
69,2026-03-03,12:19:50,-8.38,117.0002,27.6,2.41,46 km TimurLaut Kab. Sumbawa Barat-NTB,
70,2026-03-03,12:56:59,-8.22,117.7528,27.3,2.49,47 km TimurLaut Kab. Sumbawa-NTB,
71,2026-03-03,13:54:11,-9.37,116.0176,36.0,2.73,78 km Selatan Kab. Lombok Barat-NTB,
72,2026-03-03,14:24:33,-8.66,118.7457,10.0,2.3,22 km Selatan Kota Bima-NTB,
73,2026-03-03,14:31:14,-8.3,116.5053,20.2,2.22,29 km Timur Kab. Lombok Utara-NTB,
74,2026-03-03,14:46:38,-9.47,117.6579,19.7,2.48,111 km Selatan Kab. Sumbawa-NTB,
75,2026-03-03,15:57:18,-9.78,118.142,18.8,3.34,128 km Barat Kab. Sumba Barat Daya-NTT,
76,2026-03-03,15:57:26,-8.36,117.7461,10.0,2.34,39 km Timur Kab. Sumbawa-NTB,
77,2026-03-03,16:09:04,-10.23,117.6004,49.3,3.15,185 km Tenggara Kab. Sumbawa Barat-NTB,
78,2026-03-03,16:32:04,-7.52,117.5384,11.0,2.76,108 km Utara Kab. Sumbawa-NTB,
79,2026-03-03,17:03:17,-8.71,119.1926,10.0,2.17,58 km Tenggara Kota Bima-NTB,
81,2026-03-03,21:12:21,-8.22,117.6758,10.0,2.24,41 km TimurLaut Kab. Sumbawa-NTB,
83,2026-03-03,23:10:26,-8.16,117.8532,12.6,2.82,60 km TimurLaut Kab. Sumbawa-NTB,
84,2026-03-04,00:54:31,-8.98,117.4708,23.8,1.92,54 km Selatan Kab. Sumbawa-NTB,
85,2026-03-04,01:37:25,-8.13,118.4787,14.4,2.38,45 km Utara Kab. Dompu-NTB,
86,2026-03-04,01:39:46,-8.16,117.759,10.0,2.09,52 km TimurLaut Kab. Sumbawa-NTB,
87,2026-03-04,01:55:14,-8.93,119.1115,10.0,2.44,55 km Utara Kab. Sumba Barat Daya-NTT,
89,2026-03-04,04:49:58,-7.98,117.7181,36.0,2.66,65 km TimurLaut Kab. Sumbawa-NTB,
90,2026-03-04,06:06:38,-8.17,117.7083,25.6,2.87,48 km TimurLaut Kab. Sumbawa-NTB,
91,2026-03-04,06:20:59,-8.32,117.5204,10.0,3.51,22 km TimurLaut Kab. Sumbawa-NTB,
92,2026-03-04,07:21:54,-8.84,118.1365,11.4,3.1,38 km BaratDaya Kab. Bima-NTB,
93,2026-03-04,08:04:32,-9.07,118.126,26.0,2.74,59 km BaratDaya Kab. Bima-NTB,
94,2026-03-04,10:14:09,-8.2,117.7035,24.6,2.81,45 km TimurLaut Kab. Sumbawa-NTB,
95,2026-03-04,10:24:15,-8.35,117.5254,12.8,2.81,20 km TimurLaut Kab. Sumbawa-NTB,
96,2026-03-04,11:08:52,-7.78,119.0326,36.5,2.97,82 km TimurLaut Kota Bima-NTB,
97,2026-03-04,13:32:33,-8.4,117.5178,10.0,2.89,15 km TimurLaut Kab. Sumbawa-NTB,
98,2026-03-04,15:22:29,-7.79,118.7243,37.4,2.66,74 km Utara Kota Bima-NTB,
99,2026-03-04,15:36:03,-8.15,117.7914,10.0,2.1,56 km TimurLaut Kab. Sumbawa-NTB,
100,2026-03-04,16:03:51,-8.4,117.5255,10.0,2.12,15 km TimurLaut Kab. Sumbawa-NTB,
102,2026-03-04,16:13:19,-8.16,117.6977,13.9,2.01,48 km TimurLaut Kab. Sumbawa-NTB,
103,2026-03-04,16:26:45,-8.37,117.8036,52.5,2.07,44 km Timur Kab. Sumbawa-NTB,
104,2026-03-04,16:59:12,-8.72,118.0932,11.3,2.34,34 km BaratDaya Kab. Bima-NTB,
106,2026-03-04,17:16:48,-8.84,118.142,14.7,2.03,37 km BaratDaya Kab. Bima-NTB,
107,2026-03-04,17:56:36,-8.34,117.5639,10.0,2.14,23 km TimurLaut Kab. Sumbawa-NTB,
109,2026-03-04,21:25:48,-8.06,117.8675,23.1,2.72,69 km TimurLaut Kab. Sumbawa-NTB,
110,2026-03-04,21:39:58,-8.22,114.773,10.9,1.32,22 km TimurLaut Kab. Jembrana-Bali,
111,2026-03-04,22:32:00,-9.19,117.7433,31.2,2.19,85 km Tenggara Kab. Sumbawa-NTB,
112,2026-03-04,23:10:19,-8.12,117.7776,10.0,2.08,57 km TimurLaut Kab. Sumbawa-NTB,
113,2026-03-05,00:06:11,-7.88,118.9162,28.6,2.54,67 km Utara Kota Bima-NTB,
114,2026-03-05,00:17:37,-8.67,118.2288,10.0,2.02,18 km BaratDaya Kab. Bima-NTB,
115,2026-03-05,00:31:18,-8.24,117.6826,18.0,2.18,40 km TimurLaut Kab. Sumbawa-NTB,
116,2026-03-05,01:42:25,-8.19,117.7504,17.4,2.64,49 km TimurLaut Kab. Sumbawa-NTB,
117,2026-03-05,01:57:35,-8.48,116.9022,10.0,2.41,32 km Utara Kab. Sumbawa Barat-NTB,
119,2026-03-05,04:48:48,-7.84,119.0218,36.3,2.87,76 km TimurLaut Kota Bima-NTB,
120,2026-03-05,05:25:50,-8.18,117.8357,10.0,2.42,57 km TimurLaut Kab. Sumbawa-NTB,
121,2026-03-05,07:03:34,-8.58,117.8439,10.0,1.68,48 km Timur Kab. Sumbawa-NTB,
122,2026-03-05,07:58:28,-8.18,117.8366,13.9,2.43,57 km TimurLaut Kab. Sumbawa-NTB,
123,2026-03-05,08:27:34,-8.55,117.1459,10.0,2.17,31 km Barat Kab. Sumbawa-NTB,
125,2026-03-05,11:39:31,-8.18,117.8197,24.1,2.0,56 km TimurLaut Kab. Sumbawa-NTB,
126,2026-03-05,11:49:49,-8.11,117.8066,10.0,2.14,60 km TimurLaut Kab. Sumbawa-NTB,
127,2026-03-05,13:08:45,-8.13,117.6749,11.3,2.84,49 km TimurLaut Kab. Sumbawa-NTB,
128,2026-03-05,13:27:41,-8.02,117.2291,15.6,2.88,56 km Utara Kab. Sumbawa-NTB,
129,2026-03-05,14:07:12,-8.41,117.8982,56.0,2.56,53 km Timur Kab. Sumbawa-NTB,
130,2026-03-05,14:42:02,-7.7,118.5462,28.8,2.89,86 km Utara Kota Bima-NTB,
132,2026-03-05,15:13:21,-8.57,116.075,18.4,2.36,4 km BaratLaut Kota Mataram-NTB,
133,2026-03-05,15:17:35,-8.09,117.7837,19.7,3.13,60 km TimurLaut Kab. Sumbawa-NTB,
134,2026-03-05,16:14:10,-8.13,117.7955,10.0,2.98,58 km TimurLaut Kab. Sumbawa-NTB,
135,2026-03-05,16:55:33,-8.22,114.7847,11.5,1.35,23 km TimurLaut Kab. Jembrana-Bali,
136,2026-03-05,17:08:48,-8.06,117.7175,10.4,2.67,58 km TimurLaut Kab. Sumbawa-NTB,
137,2026-03-05,17:26:49,-7.77,117.9796,15.0,2.55,100 km BaratLaut Kab. Dompu-NTB,
138,2026-03-05,17:46:09,-8.28,114.9573,12.9,2.14,23 km BaratDaya Kab. Buleleng-Bali,
139,2026-03-05,17:50:10,-8.18,117.8229,10.5,2.88,56 km TimurLaut Kab. Sumbawa-NTB,
140,2026-03-05,18:25:57,-8.33,117.9071,35.7,2.71,57 km Timur Kab. Sumbawa-NTB,
141,2026-03-05,18:36:08,-8.28,117.9349,53.2,2.78,60 km BaratLaut Kab. Bima-NTB,
142,2026-03-05,18:59:30,-8.29,117.8141,42.6,2.53,49 km TimurLaut Kab. Sumbawa-NTB,
143,2026-03-05,19:32:55,-8.24,117.8181,27.8,2.65,52 km TimurLaut Kab. Sumbawa-NTB,
144,2026-03-05,20:12:44,-8.15,117.8132,12.6,2.69,58 km TimurLaut Kab. Sumbawa-NTB,
145,2026-03-05,20:40:57,-8.15,117.6438,14.2,2.86,45 km TimurLaut Kab. Sumbawa-NTB,
146,2026-03-05,20:43:10,-8.31,117.8176,16.6,2.79,48 km TimurLaut Kab. Sumbawa-NTB,
147,2026-03-05,21:19:55,-9.55,117.4732,27.2,3.37,114 km Tenggara Kab. Sumbawa Barat-NTB,
149,2026-03-06,00:07:07,-9.56,115.1734,28.6,2.81,98 km Selatan Kota Denpasar-Bali,
150,2026-03-06,01:02:28,-8.71,117.8071,10.0,1.99,49 km Tenggara Kab. Sumbawa-NTB,
151,2026-03-06,03:09:49,-8.15,117.7407,10.0,2.3,52 km TimurLaut Kab. Sumbawa-NTB,
152,2026-03-06,04:14:03,-9.6,116.7718,10.0,2.85,94 km Selatan Kab. Sumbawa Barat-NTB,
153,2026-03-06,04:37:40,-7.51,118.544,10.6,2.68,107 km Utara Kota Bima-NTB,
154,2026-03-06,09:41:01,-8.11,117.8,10.0,3.1,59 km TimurLaut Kab. Sumbawa-NTB,
156,2026-03-06,11:15:20,-7.79,117.2193,10.0,3.57,81 km Utara Kab. Sumbawa-NTB,
157,2026-03-06,11:23:32,-8.49,116.929,14.1,2.59,32 km TimurLaut Kab. Sumbawa Barat-NTB,
