No,Tanggal,Waktu (UTC),Lintang,Bujur,Kedalaman,Magnitude,Keterangan,Dirasakan
285,2026-03-09,20:55:20,-8.16,117.7798,11.6,2.42,54 km TimurLaut Kab. Sumbawa-NTB,
286,2026-03-09,22:13:19,-8.18,117.8239,13.0,2.68,56 km TimurLaut Kab. Sumbawa-NTB,
288,2026-03-10,03:54:28,-7.7,119.0746,38.6,3.09,92 km TimurLaut Kota Bima-NTB,
289,2026-03-10,04:24:29,-8.88,116.8419,10.0,2.52,14 km Selatan Kab. Sumbawa Barat-NTB,
290,2026-03-10,08:08:46,-8.16,117.6831,10.0,2.43,47 km TimurLaut Kab. Sumbawa-NTB,
291,2026-03-10,09:51:07,-8.15,117.8406,17.8,2.4,60 km TimurLaut Kab. Sumbawa-NTB,
292,2026-03-10,10:47:10,-9.99,118.8175,1.2,4.75,71 km BaratDaya Kab. Sumba Barat-NTT,
293,2026-03-10,11:45:37,-8.25,117.7352,29.0,1.88,44 km TimurLaut Kab. Sumbawa-NTB,
294,2026-03-10,11:45:37,-8.27,117.7469,38.5,2.18,44 km TimurLaut Kab. Sumbawa-NTB,
296,2026-03-10,13:30:14,-8.18,117.7415,21.0,2.41,49 km TimurLaut Kab. Sumbawa-NTB,
297,2026-03-10,13:40:59,-8.24,117.96,10.9,2.64,60 km BaratLaut Kab. Bima-NTB,
298,2026-03-10,14:04:51,-8.02,117.5343,11.0,2.16,54 km Utara Kab. Sumbawa-NTB,
299,2026-03-10,14:09:02,-8.71,115.5904,54.4,1.74,28 km Tenggara Kab. Klungkung-Bali,
300,2026-03-10,14:09:40,-8.84,117.9741,11.0,1.79,52 km BaratDaya Kab. Bima-NTB,
301,2026-03-10,14:54:43,-10.06,118.8294,11.0,2.64,75 km BaratDaya Kab. Sumba Barat-NTT,
302,2026-03-10,15:25:54,-8.53,117.5253,11.0,2.14,12 km Timur Kab. Sumbawa-NTB,
303,2026-03-10,15:57:56,-8.02,117.798,13.6,2.4,67 km TimurLaut Kab. Sumbawa-NTB,
305,2026-03-10,17:14:46,-8.82,117.7115,9.0,2.19,48 km Tenggara Kab. Sumbawa-NTB,
306,2026-03-10,17:30:34,-8.2,117.8791,13.0,2.45,60 km TimurLaut Kab. Sumbawa-NTB,
307,2026-03-10,18:06:20,-8.08,117.6805,11.0,2.15,54 km TimurLaut Kab. Sumbawa-NTB,
308,2026-03-10,18:52:13,-8.06,117.84,11.2,2.25,67 km TimurLaut Kab. Sumbawa-NTB,
309,2026-03-10,18:53:25,-8.24,117.8092,25.8,2.1,51 km TimurLaut Kab. Sumbawa-NTB,
310,2026-03-10,19:11:48,-8.09,117.7877,28.1,2.14,60 km TimurLaut Kab. Sumbawa-NTB,
311,2026-03-10,19:22:37,-8.31,118.0186,12.0,2.4,50 km BaratLaut Kab. Bima-NTB,
312,2026-03-10,19:42:56,-8.64,117.8955,11.5,1.64,53 km Barat Kab. Bima-NTB,
313,2026-03-10,20:11:37,-10.02,118.8139,10.7,3.35,74 km BaratDaya Kab. Sumba Barat-NTT,
314,2026-03-10,20:26:56,-7.91,117.2701,13.0,2.92,66 km Utara Kab. Sumbawa-NTB,
315,2026-03-10,20:54:05,-7.95,117.8298,14.7,2.46,75 km TimurLaut Kab. Sumbawa-NTB,
316,2026-03-10,21:06:50,-8.25,114.8945,16.2,1.96,26 km BaratDaya Kab. Buleleng-Bali,
317,2026-03-10,22:23:33,-9.01,116.7151,16.8,2.53,31 km Selatan Kab. Sumbawa Barat-NTB,
318,2026-03-10,23:01:55,-8.15,117.7849,14.5,2.15,55 km TimurLaut Kab. Sumbawa-NTB,
319,2026-03-11,00:17:55,-8.14,117.6843,10.0,2.42,49 km TimurLaut Kab. Sumbawa-NTB,
320,2026-03-11,00:56:46,-8.52,117.2703,15.7,3.5,17 km Barat Kab. Sumbawa-NTB,dirasakan di wilayah Kab. Sumbawa II MMI
322,2026-03-11,02:30:44,-8.22,117.7088,16.1,2.79,44 km TimurLaut Kab. Sumbawa-NTB,
323,2026-03-11,02:32:14,-8.51,117.2561,16.0,2.3,18 km Barat Kab. Sumbawa-NTB,
324,2026-03-11,03:46:16,-8.5,117.2849,12.8,2.76,15 km Barat Kab. Sumbawa-NTB,
325,2026-03-11,03:52:09,-8.49,117.2476,20.6,2.35,19 km Barat Kab. Sumbawa-NTB,
327,2026-03-11,04:20:26,-8.91,117.7746,10.0,2.26,60 km Tenggara Kab. Sumbawa-NTB,
328,2026-03-11,05:13:24,-8.01,117.7877,22.0,2.58,67 km TimurLaut Kab. Sumbawa-NTB,
329,2026-03-11,07:09:43,-8.93,116.8699,10.0,3.26,20 km Selatan Kab. Sumbawa Barat-NTB,
330,2026-03-11,07:31:44,-8.2,117.6956,10.0,3.1,44 km TimurLaut Kab. Sumbawa-NTB,
333,2026-03-11,11:14:03,-8.24,117.6825,12.8,2.27,40 km TimurLaut Kab. Sumbawa-NTB,
334,2026-03-11,12:26:10,-7.95,117.7294,20.6,3.0,69 km TimurLaut Kab. Sumbawa-NTB,
335,2026-03-11,12:53:41,-7.74,118.6445,17.9,2.65,80 km Utara Kota Bima-NTB,
336,2026-03-11,13:06:01,-10.28,118.7684,12.1,2.72,98 km BaratDaya Kab. Sumba Barat-NTT,
337,2026-03-11,13:14:18,-8.17,117.7396,14.9,2.76,50 km TimurLaut Kab. Sumbawa-NTB,
338,2026-03-11,13:27:04,-8.18,117.7248,11.0,2.26,48 km TimurLaut Kab. Sumbawa-NTB,
339,2026-03-11,13:50:06,-7.91,117.7101,14.5,2.55,72 km TimurLaut Kab. Sumbawa-NTB,
340,2026-03-11,14:09:21,-8.2,117.7477,19.1,2.29,48 km TimurLaut Kab. Sumbawa-NTB,
341,2026-03-11,14:12:42,-8.31,117.7704,28.2,1.92,44 km TimurLaut Kab. Sumbawa-NTB,
342,2026-03-11,15:02:35,-8.52,116.8542,10.6,2.22,26 km Utara Kab. Sumbawa Barat-NTB,
343,2026-03-11,15:10:57,-8.14,119.0888,10.0,2.69,53 km TimurLaut Kota Bima-NTB,
344,2026-03-11,15:29:06,-7.81,119.018,27.0,2.46,79 km TimurLaut Kota Bima-NTB,
345,2026-03-11,15:37:41,-8.7,115.8324,33.9,2.85,32 km Barat Kota Mataram-NTB,
346,2026-03-11,15:55:08,-8.33,117.6859,10.0,2.21,34 km TimurLaut Kab. Sumbawa-NTB,
347,2026-03-11,15:58:14,-8.88,115.838,10.0,2.42,39 km BaratDaya Kab. Lombok Barat-NTB,
348,2026-03-11,16:08:30,-9.55,117.2212,12.7,2.89,99 km Tenggara Kab. Sumbawa Barat-NTB,
349,2026-03-11,17:57:38,-9.57,117.1613,22.4,3.04,98 km Selatan Kab. Sumbawa Barat-NTB,
350,2026-03-11,18:04:16,-7.76,118.883,27.1,2.86,79 km Utara Kota Bima-NTB,
351,2026-03-11,20:24:56,-9.45,115.9341,27.7,2.79,88 km Selatan Kab. Lombok Barat-NTB,
352,2026-03-11,20:44:10,-8.14,117.7287,18.0,1.97,52 km TimurLaut Kab. Sumbawa-NTB,
353,2026-03-11,20:55:42,-8.2,117.7573,15.1,2.01,49 km TimurLaut Kab. Sumbawa-NTB,
354,2026-03-11,21:02:16,-8.12,117.7147,23.4,2.16,52 km TimurLaut Kab. Sumbawa-NTB,
355,2026-03-11,21:11:33,-8.19,117.7234,16.7,2.14,47 km TimurLaut Kab. Sumbawa-NTB,
356,2026-03-11,21:15:51,-9.15,117.0737,45.6,2.26,52 km Tenggara Kab. Sumbawa Barat-NTB,
357,2026-03-11,23:29:01,-8.16,117.6815,11.5,2.24,47 km TimurLaut Kab. Sumbawa-NTB,
358,2026-03-12,03:37:42,-9.47,117.6589,24.6,2.5,111 km Selatan Kab. Sumbawa-NTB,
359,2026-03-12,04:06:07,-9.34,117.7314,43.7,2.39,100 km Selatan Kab. Sumbawa-NTB,
360,2026-03-12,04:29:15,-8.51,119.0902,10.0,2.14,40 km Timur Kota Bima-NTB,
361,2026-03-12,05:29:24,-8.23,117.9293,10.0,2.16,63 km TimurLaut Kab. Sumbawa-NTB,
362,2026-03-12,05:35:39,-8.49,117.1863,11.7,2.14,26 km Barat Kab. Sumbawa-NTB,
364,2026-03-12,09:09:55,-7.85,118.9198,31.3,2.61,71 km Utara Kota Bima-NTB,
365,2026-03-12,11:56:31,-8.27,117.7563,15.8,1.82,44 km TimurLaut Kab. Sumbawa-NTB,
366,2026-03-12,13:18:50,-8.15,117.6941,16.5,2.38,48 km TimurLaut Kab. Sumbawa-NTB,
367,2026-03-12,14:35:33,-8.22,117.6679,24.1,2.41,41 km TimurLaut Kab. Sumbawa-NTB,
368,2026-03-12,14:38:12,-8.22,117.667,11.7,2.6,41 km TimurLaut Kab. Sumbawa-NTB,
369,2026-03-12,14:40:51,-8.28,117.696,28.2,2.42,38 km TimurLaut Kab. Sumbawa-NTB,
370,2026-03-12,14:46:19,-8.17,117.6545,10.0,2.32,44 km TimurLaut Kab. Sumbawa-NTB,
371,2026-03-12,14:48:44,-8.66,117.955,13.6,1.84,47 km Barat Kab. Bima-NTB,
373,2026-03-12,15:55:52,-8.17,117.7845,21.1,2.28,54 km TimurLaut Kab. Sumbawa-NTB,
374,2026-03-12,18:03:17,-8.21,117.7041,15.0,2.25,44 km TimurLaut Kab. Sumbawa-NTB,
375,2026-03-12,18:18:24,-8.23,117.7744,24.1,2.78,49 km TimurLaut Kab. Sumbawa-NTB,
376,2026-03-12,18:46:54,-9.36,116.8132,15.7,2.45,67 km Selatan Kab. Sumbawa Barat-NTB,
377,2026-03-12,19:27:30,-7.81,118.8467,28.4,3.03,73 km Utara Kota Bima-NTB,
379,2026-03-12,20:56:24,-8.23,117.6649,21.8,2.43,40 km TimurLaut Kab. Sumbawa-NTB,
380,2026-03-12,21:03:50,-9.54,117.8826,25.4,2.9,118 km BaratDaya Kab. Bima-NTB,
382,2026-03-12,22:14:13,-7.99,117.6813,14.5,2.71,63 km TimurLaut Kab. Sumbawa-NTB,
383,2026-03-12,23:12:32,-9.47,118.3385,50.6,3.1,97 km Selatan Kab. Bima-NTB,
384,2026-03-12,23:33:19,-8.67,118.7036,10.0,2.6,23 km Selatan Kota Bima-NTB,
386,2026-03-13,03:52:03,-8.88,116.8513,11.0,2.4,14 km Selatan Kab. Sumbawa Barat-NTB,
387,2026-03-13,07:43:51,-7.95,117.3559,14.6,2.53,60 km Utara Kab. Sumbawa-NTB,
389,2026-03-13,08:17:59,-9.2,116.7506,11.0,2.53,50 km Selatan Kab. Sumbawa Barat-NTB,
390,2026-03-13,09:19:55,-7.99,117.264,36.3,2.74,58 km Utara Kab. Sumbawa-NTB,
391,2026-03-13,12:20:28,-8.17,117.6387,10.0,2.05,43 km TimurLaut Kab. Sumbawa-NTB,
392,2026-03-13,12:27:07,-8.47,117.4097,5.9,2.32,3 km BaratLaut Kab. Sumbawa-NTB,
393,2026-03-13,12:47:55,-8.52,118.8558,28.2,2.2,16 km Tenggara Kota Bima-NTB,
394,2026-03-13,13:29:55,-8.34,117.7823,29.9,2.92,43 km TimurLaut Kab. Sumbawa-NTB,
395,2026-03-13,14:23:49,-11.13,118.1608,10.0,3.66,213 km BaratDaya Kab. Sumba Barat-NTT,
397,2026-03-13,14:36:39,-8.17,117.6692,10.0,2.03,45 km TimurLaut Kab. Sumbawa-NTB,
398,2026-03-13,15:27:52,-8.25,117.7903,34.9,2.13,49 km TimurLaut Kab. Sumbawa-NTB,
400,2026-03-13,16:03:30,-8.29,117.7359,26.1,2.01,41 km TimurLaut Kab. Sumbawa-NTB,
401,2026-03-13,16:24:09,-7.79,119.0367,44.2,2.73,82 km TimurLaut Kota Bima-NTB,
402,2026-03-13,17:11:05,-8.5,117.1092,14.7,2.09,34 km Barat Kab. Sumbawa-NTB,
403,2026-03-13,18:12:42,-8.56,116.5572,17.5,2.36,11 km Utara Kab. Lombok Timur-NTB,
404,2026-03-13,18:13:35,-10.65,117.5052,10.0,3.23,223 km Selatan Kab. Sumbawa Barat-NTB,
405,2026-03-13,18:53:30,-11.0,117.1127,10.0,3.27,251 km Selatan Kab. Sumbawa Barat-NTB,
406,2026-03-13,20:42:25,-8.17,117.7112,10.0,2.07,48 km TimurLaut Kab. Sumbawa-NTB,
407,2026-03-13,20:53:46,-9.36,117.4162,38.0,2.59,94 km Tenggara Kab. Sumbawa Barat-NTB,
408,2026-03-13,21:39:12,-8.05,117.6494,19.1,2.51,55 km TimurLaut Kab. Sumbawa-NTB,
409,2026-03-13,21:42:42,-8.77,117.9639,22.0,2.07,49 km BaratDaya Kab. Bima-NTB,
410,2026-03-13,23:48:49,-8.64,117.9141,10.0,1.79,51 km Barat Kab. Bima-NTB,
411,2026-03-14,00:58:16,-8.44,117.9047,48.0,1.88,54 km Timur Kab. Sumbawa-NTB,
413,2026-03-14,03:50:11,-8.27,117.8226,10.0,2.85,51 km TimurLaut Kab. Sumbawa-NTB,
414,2026-03-14,04:21:18,-8.88,116.9085,10.0,2.39,17 km Tenggara Kab. Sumbawa Barat-NTB,
415,2026-03-14,08:02:51,-8.92,116.8659,10.0,2.43,19 km Selatan Kab. Sumbawa Barat-NTB,
416,2026-03-14,08:58:48,-10.92,117.9812,10.0,3.25,208 km BaratDaya Kab. Sumba Barat-NTT,
418,2026-03-14,10:26:34,-8.16,117.6635,15.6,2.17,45 km TimurLaut Kab. Sumbawa-NTB,
419,2026-03-14,11:33:02,-8.42,119.2855,10.0,2.53,62 km Timur Kota Bima-NTB,
420,2026-03-14,11:50:37,-8.16,117.7677,29.0,2.14,53 km TimurLaut Kab. Sumbawa-NTB,
423,2026-03-14,12:29:56,-8.07,117.6331,10.0,1.91,52 km TimurLaut Kab. Sumbawa-NTB,
427,2026-03-14,14:09:10,-8.07,117.774,13.4,1.93,61 km TimurLaut Kab. Sumbawa-NTB,
428,2026-03-14,14:13:23,-11.01,117.684,10.0,2.99,239 km BaratDaya Kab. Sumba Barat-NTT,
430,2026-03-14,14:25:12,-8.98,117.0065,10.0,2.34,33 km Tenggara Kab. Sumbawa Barat-NTB,
431,2026-03-14,15:14:49,-7.8,117.8229,49.2,2.07,88 km TimurLaut Kab. Sumbawa-NTB,
432,2026-03-14,15:49:11,-7.97,117.5995,13.0,2.75,61 km Utara Kab. Sumbawa-NTB,
433,2026-03-14,16:52:07,-8.4,117.8336,23.7,1.83,47 km Timur Kab. Sumbawa-NTB,
434,2026-03-14,16:57:09,-7.92,117.2496,14.7,2.17,66 km Utara Kab. Sumbawa-NTB,
435,2026-03-14,17:04:25,-8.76,116.6506,10.0,2.17,18 km Tenggara Kab. Lombok Timur-NTB,
437,2026-03-14,20:28:29,-7.92,117.8104,24.4,2.06,77 km TimurLaut Kab. Sumbawa-NTB,
439,2026-03-14,20:54:32,-8.06,118.588,10.0,1.52,47 km Utara Kota Bima-NTB,
440,2026-03-15,01:41:11,-8.18,117.6878,19.4,2.37,45 km TimurLaut Kab. Sumbawa-NTB,
441,2026-03-15,01:43:45,-8.17,117.6465,15.4,2.2,43 km TimurLaut Kab. Sumbawa-NTB,
442,2026-03-15,06:58:48,-8.69,117.9513,11.6,2.28,48 km Barat Kab. Bima-NTB,
443,2026-03-15,08:39:12,-8.18,117.8451,14.7,2.76,58 km TimurLaut Kab. Sumbawa-NTB,
444,2026-03-15,10:16:59,-8.17,117.667,13.2,2.43,45 km TimurLaut Kab. Sumbawa-NTB,
445,2026-03-15,10:32:29,-8.21,117.6529,10.0,2.57,40 km TimurLaut Kab. Sumbawa-NTB,
447,2026-03-15,13:17:20,-7.74,118.8493,29.8,2.55,81 km Utara Kota Bima-NTB,
448,2026-03-15,13:40:19,-7.96,117.5033,20.0,3.01,60 km Utara Kab. Sumbawa-NTB,
449,2026-03-15,14:00:03,-7.95,117.3721,11.8,2.48,60 km Utara Kab. Sumbawa-NTB,
450,2026-03-15,14:08:23,-8.0,117.2546,12.8,2.54,57 km Utara Kab. Sumbawa-NTB,
455,2026-03-15,15:42:13,-7.6,118.854,16.5,2.12,96 km Utara Kota Bima-NTB,
456,2026-03-15,15:48:35,-8.07,117.8041,10.3,2.55,63 km TimurLaut Kab. Sumbawa-NTB,
457,2026-03-15,16:35:12,-8.21,117.8461,23.0,2.08,56 km TimurLaut Kab. Sumbawa-NTB,
458,2026-03-15,16:38:47,-8.42,114.9038,10.0,1.72,28 km BaratLaut Kab. Tabanan-Bali,
459,2026-03-15,17:07:10,-8.08,117.7606,10.0,1.98,59 km TimurLaut Kab. Sumbawa-NTB,
460,2026-03-15,17:07:10,-8.08,117.7606,10.0,1.98,59 km TimurLaut Kab. Sumbawa-NTB,
461,2026-03-15,17:49:02,-11.01,118.352,21.2,2.92,190 km BaratDaya Kab. Sumba Barat-NTT,
464,2026-03-15,19:09:28,-9.51,117.5408,24.4,2.26,113 km Selatan Kab. Sumbawa-NTB,
465,2026-03-15,19:09:28,-9.5,117.5406,27.1,2.15,112 km Selatan Kab. Sumbawa-NTB,
466,2026-03-15,19:13:17,-9.53,117.5123,14.7,2.39,115 km Tenggara Kab. Sumbawa Barat-NTB,
467,2026-03-15,19:13:17,-9.53,117.5123,14.7,2.39,115 km Tenggara Kab. Sumbawa Barat-NTB,
468,2026-03-15,19:40:46,-8.25,117.7707,21.5,2.84,47 km TimurLaut Kab. Sumbawa-NTB,
470,2026-03-15,20:03:11,-9.45,117.788,24.3,2.59,113 km Selatan Kab. Sumbawa-NTB,
471,2026-03-15,20:49:01,-8.18,117.7268,25.1,1.92,48 km TimurLaut Kab. Sumbawa-NTB,
472,2026-03-15,21:03:50,-7.79,117.358,15.0,2.37,78 km Utara Kab. Sumbawa-NTB,
473,2026-03-15,22:20:40,-8.31,116.8165,8.0,2.03,49 km Utara Kab. Sumbawa Barat-NTB,
474,2026-03-15,22:27:41,-8.25,117.7816,27.4,2.74,48 km TimurLaut Kab. Sumbawa-NTB,
475,2026-03-16,00:53:10,-8.33,117.7086,10.0,1.98,36 km TimurLaut Kab. Sumbawa-NTB,
476,2026-03-16,01:08:10,-8.0,117.6997,10.0,1.94,63 km TimurLaut Kab. Sumbawa-NTB,
477,2026-03-16,01:11:31,-8.12,117.798,55.1,2.18,59 km TimurLaut Kab. Sumbawa-NTB,
478,2026-03-16,03:36:22,-8.33,116.9747,13.0,2.2,50 km Utara Kab. Sumbawa Barat-NTB,
480,2026-03-16,04:57:33,-8.95,116.8931,10.0,2.34,23 km Selatan Kab. Sumbawa Barat-NTB,
481,2026-03-16,05:01:54,-8.1,117.6286,10.0,1.85,49 km TimurLaut Kab. Sumbawa-NTB,
482,2026-03-16,06:30:38,-9.42,117.0881,31.9,2.6,79 km Selatan Kab. Sumbawa Barat-NTB,
483,2026-03-16,07:03:45,-9.4,117.9546,28.7,2.33,100 km BaratDaya Kab. Bima-NTB,
486,2026-03-16,11:35:34,-8.62,115.4715,25.2,2.25,12 km Tenggara Kab. Klungkung-Bali,
487,2026-03-16,11:41:59,-9.35,118.1834,37.2,5.24,86 km Selatan Kab. Bima-NTB,dirasakan di wiliayah Sumbawa dan Bima III MMI
490,2026-03-16,13:31:33,-8.28,117.7022,46.3,2.36,39 km TimurLaut Kab. Sumbawa-NTB,
491,2026-03-16,14:02:34,-8.11,117.6607,10.5,2.53,50 km TimurLaut Kab. Sumbawa-NTB,
493,2026-03-16,14:28:11,-7.74,118.1625,17.5,2.58,94 km Utara Kab. Dompu-NTB,
495,2026-03-16,15:51:11,-7.9,117.7773,33.7,2.56,76 km TimurLaut Kab. Sumbawa-NTB,
496,2026-03-16,16:10:06,-8.25,117.7652,31.1,2.71,47 km TimurLaut Kab. Sumbawa-NTB,
497,2026-03-16,17:22:27,-8.18,117.7058,20.5,2.13,47 km TimurLaut Kab. Sumbawa-NTB,
498,2026-03-16,17:25:15,-8.27,117.7521,36.4,2.36,44 km TimurLaut Kab. Sumbawa-NTB,
499,2026-03-16,18:01:47,-9.38,117.8637,26.1,2.04,104 km BaratDaya Kab. Bima-NTB,
500,2026-03-16,18:11:37,-7.8,118.9699,34.8,2.28,78 km Utara Kota Bima-NTB,
502,2026-03-16,19:14:29,-7.91,115.2968,18.8,1.8,32 km TimurLaut Kab. Buleleng-Bali,
503,2026-03-16,19:40:31,-8.13,117.8045,13.5,2.05,58 km TimurLaut Kab. Sumbawa-NTB,
505,2026-03-16,19:58:38,-8.69,117.4176,11.4,1.66,22 km Selatan Kab. Sumbawa-NTB,
506,2026-03-16,19:58:38,-8.69,117.4174,10.1,1.3,22 km Selatan Kab. Sumbawa-NTB,
507,2026-03-16,20:33:59,-8.22,117.7706,43.5,1.5,49 km TimurLaut Kab. Sumbawa-NTB,
509,2026-03-16,21:01:24,-8.35,116.7674,11.1,2.97,43 km TimurLaut Kab. Lombok Timur-NTB,
510,2026-03-16,21:09:42,-8.36,116.7817,13.3,2.14,43 km TimurLaut Kab. Lombok Timur-NTB,
511,2026-03-16,21:36:57,-8.23,117.7428,25.4,1.99,46 km TimurLaut Kab. Sumbawa-NTB,
512,2026-03-16,23:45:53,-9.5,117.7223,28.0,2.82,116 km Selatan Kab. Sumbawa-NTB,
513,2026-03-17,00:13:13,-8.14,117.8277,29.6,2.12,59 km TimurLaut Kab. Sumbawa-NTB,
514,2026-03-17,01:02:11,-9.49,117.6941,21.6,2.39,114 km Selatan Kab. Sumbawa-NTB,
515,2026-03-17,03:38:18,-8.19,117.8013,19.2,1.94,54 km TimurLaut Kab. Sumbawa-NTB,
516,2026-03-17,04:15:24,-8.93,116.8682,10.0,2.56,20 km Selatan Kab. Sumbawa Barat-NTB,
517,2026-03-17,05:22:11,-8.2,117.7333,19.5,2.48,47 km TimurLaut Kab. Sumbawa-NTB,
518,2026-03-17,06:25:28,-8.51,118.7447,51.2,1.76,6 km Selatan Kota Bima-NTB,
519,2026-03-17,07:08:12,-8.14,117.8655,10.0,2.04,63 km TimurLaut Kab. Sumbawa-NTB,
520,2026-03-17,07:56:25,-9.43,118.1981,37.1,3.83,94 km Selatan Kab. Bima-NTB,
521,2026-03-17,08:21:28,-8.97,118.3176,28.2,1.53,42 km Selatan Kab. Bima-NTB,
522,2026-03-17,08:24:36,-8.66,118.1036,26.1,1.32,31 km Barat Kab. Bima-NTB,
523,2026-03-17,11:08:10,-8.65,117.9722,10.0,1.33,45 km Barat Kab. Bima-NTB,
524,2026-03-17,12:24:32,-8.14,117.8281,19.4,2.02,59 km TimurLaut Kab. Sumbawa-NTB,
525,2026-03-17,12:46:32,-8.2,115.6894,19.7,1.64,29 km Utara Kab. Karangasem-Bali,
526,2026-03-17,13:15:36,-8.66,117.9224,10.0,1.32,51 km Barat Kab. Bima-NTB,
527,2026-03-17,14:06:31,-8.74,117.8354,12.6,2.03,53 km Tenggara Kab. Sumbawa-NTB,
528,2026-03-17,15:22:07,-8.51,117.7176,21.6,1.72,33 km Timur Kab. Sumbawa-NTB,
530,2026-03-17,15:50:36,-9.86,117.3484,10.7,1.9,136 km Tenggara Kab. Sumbawa Barat-NTB,
532,2026-03-17,17:02:39,-8.08,117.7267,27.4,2.11,57 km TimurLaut Kab. Sumbawa-NTB,
533,2026-03-17,17:13:51,-8.31,117.8515,18.5,1.67,52 km TimurLaut Kab. Sumbawa-NTB,
534,2026-03-17,17:13:51,-8.31,117.8515,18.5,1.67,52 km TimurLaut Kab. Sumbawa-NTB,
536,2026-03-17,17:30:41,-9.44,118.1492,40.2,1.98,97 km Selatan Kab. Bima-NTB,
538,2026-03-17,18:53:04,-8.3,117.8253,11.3,1.8,49 km TimurLaut Kab. Sumbawa-NTB,
540,2026-03-17,19:49:06,-7.95,119.0551,49.7,1.63,67 km TimurLaut Kota Bima-NTB,
541,2026-03-17,19:53:41,-9.42,117.8719,32.2,1.75,107 km BaratDaya Kab. Bima-NTB,
542,2026-03-17,20:07:38,-8.11,117.7992,15.7,1.95,59 km TimurLaut Kab. Sumbawa-NTB,
543,2026-03-17,20:07:38,-8.11,117.7992,15.7,1.95,59 km TimurLaut Kab. Sumbawa-NTB,
544,2026-03-17,20:08:36,-8.15,117.7113,13.6,1.78,50 km TimurLaut Kab. Sumbawa-NTB,
545,2026-03-17,20:25:09,-8.24,117.7764,22.5,2.65,48 km TimurLaut Kab. Sumbawa-NTB,
546,2026-03-17,20:25:10,-8.26,117.773,29.0,2.5,47 km TimurLaut Kab. Sumbawa-NTB,
547,2026-03-17,20:28:06,-8.85,117.8538,59.4,1.55,62 km Tenggara Kab. Sumbawa-NTB,
548,2026-03-17,20:47:00,-9.38,117.7639,23.9,1.97,105 km Selatan Kab. Sumbawa-NTB,
549,2026-03-17,22:03:40,-8.52,117.384,10.0,2.25,5 km BaratDaya Kab. Sumbawa-NTB,
550,2026-03-18,00:17:21,-8.1,117.7557,10.0,2.73,57 km TimurLaut Kab. Sumbawa-NTB,
551,2026-03-18,00:34:21,-8.5,118.3528,43.6,2.04,11 km Utara Kab. Bima-NTB,
552,2026-03-18,01:29:04,-8.29,117.7406,10.0,2.06,42 km TimurLaut Kab. Sumbawa-NTB,
553,2026-03-18,01:39:51,-8.19,114.8085,13.7,2.2,27 km TimurLaut Kab. Jembrana-Bali,
554,2026-03-18,02:37:38,-8.3,117.7644,39.4,1.99,43 km TimurLaut Kab. Sumbawa-NTB,
555,2026-03-18,02:37:38,-8.26,117.7711,26.3,1.75,46 km TimurLaut Kab. Sumbawa-NTB,
556,2026-03-18,02:43:54,-8.59,116.8838,21.2,1.79,19 km Utara Kab. Sumbawa Barat-NTB,
557,2026-03-18,03:33:57,-8.2,114.7659,22.1,1.27,23 km TimurLaut Kab. Jembrana-Bali,
558,2026-03-18,03:38:56,-8.22,114.7945,14.1,2.11,24 km TimurLaut Kab. Jembrana-Bali,
559,2026-03-18,04:05:51,-8.2,114.7809,10.7,1.85,24 km TimurLaut Kab. Jembrana-Bali,
560,2026-03-18,04:14:36,-8.87,116.8966,10.0,1.91,16 km Tenggara Kab. Sumbawa Barat-NTB,
561,2026-03-18,06:03:06,-9.41,118.1645,37.3,3.09,93 km Selatan Kab. Bima-NTB,
562,2026-03-18,06:30:09,-8.42,117.7089,10.0,1.79,33 km Timur Kab. Sumbawa-NTB,
563,2026-03-18,06:52:28,-7.84,118.8638,24.1,2.24,70 km Utara Kota Bima-NTB,
564,2026-03-18,06:52:29,-8.01,118.9361,36.9,2.52,55 km TimurLaut Kota Bima-NTB,
565,2026-03-18,07:17:10,-8.19,114.5203,10.0,3.04,17 km Timur Kab. Banyuwangi-Jawa Timur,
566,2026-03-18,08:07:55,-7.9,118.9726,29.7,2.37,68 km TimurLaut Kota Bima-NTB,
567,2026-03-18,10:10:30,-8.21,114.7957,19.1,1.86,24 km TimurLaut Kab. Jembrana-Bali,
568,2026-03-18,10:11:03,-8.18,114.7735,10.0,2.16,25 km TimurLaut Kab. Jembrana-Bali,
569,2026-03-18,10:12:16,-8.24,114.8212,18.0,1.79,25 km TimurLaut Kab. Jembrana-Bali,
570,2026-03-18,10:15:03,-8.21,115.2016,15.5,2.11,17 km Tenggara Kab. Buleleng-Bali,
571,2026-03-18,11:12:31,-8.17,117.7089,10.0,1.93,48 km TimurLaut Kab. Sumbawa-NTB,
572,2026-03-18,11:26:12,-8.19,117.8069,11.5,1.92,54 km TimurLaut Kab. Sumbawa-NTB,
574,2026-03-18,11:53:56,-7.71,117.5965,10.0,2.38,89 km Utara Kab. Sumbawa-NTB,
575,2026-03-18,11:53:56,-7.71,117.5965,10.0,2.38,89 km Utara Kab. Sumbawa-NTB,
577,2026-03-18,13:27:27,-8.67,117.1115,10.0,1.93,34 km Timur Kab. Sumbawa Barat-NTB,
578,2026-03-18,14:30:22,-11.22,117.5215,38.0,3.35,268 km BaratDaya Kab. Sumba Barat-NTT,
579,2026-03-18,15:05:35,-7.91,117.5533,10.1,2.44,66 km Utara Kab. Sumbawa-NTB,
