No,Tanggal,Waktu (UTC),Lintang,Bujur,Kedalaman,Magnitude,Keterangan,Dirasakan
399,2026-03-13,15:38:50,-8.79,118.4094,104.3,1.9,22 km Selatan Kab. Bima-NTB,
412,2026-03-14,01:10:41,-8.25,118.6141,65.4,2.18,26 km BaratLaut Kota Bima-NTB,
417,2026-03-14,09:46:54,-8.62,115.6833,87.3,1.92,20 km Selatan Kab. Karangasem-Bali,
421,2026-03-14,11:52:40,-8.02,117.6594,284.4,2.52,59 km TimurLaut Kab. Sumbawa-NTB,
422,2026-03-14,11:52:40,-8.02,117.6594,284.4,2.52,59 km TimurLaut Kab. Sumbawa-NTB,
424,2026-03-14,12:37:38,-8.57,116.9719,134.4,2.08,26 km TimurLaut Kab. Sumbawa Barat-NTB,
425,2026-03-14,12:40:53,-8.7,116.0913,105.6,1.98,5 km BaratDaya Kab. Lombok Barat-NTB,
426,2026-03-14,13:17:16,-8.21,118.8405,78.2,2.32,30 km TimurLaut Kota Bima-NTB,
429,2026-03-14,14:17:57,-8.56,118.3885,105.1,2.62,4 km Utara Kab. Bima-NTB,
436,2026-03-14,18:56:05,-8.57,118.3462,107.1,2.57,4 km BaratLaut Kab. Bima-NTB,
438,2026-03-14,20:43:38,-8.61,116.4548,143.7,2.11,9 km BaratLaut Kab. Lombok Timur-NTB,
446,2026-03-15,12:51:14,-8.48,117.9296,77.7,2.43,51 km Barat Kab. Bima-NTB,
451,2026-03-15,14:31:04,-8.63,116.0122,87.1,2.36,10 km Barat Kota Mataram-NTB,
452,2026-03-15,15:12:12,-8.88,116.5191,172.7,2.34,25 km Selatan Kab. Lombok Timur-NTB,
453,2026-03-15,15:32:16,-8.63,118.7791,91.6,1.85,20 km Selatan Kota Bima-NTB,
454,2026-03-15,15:39:51,-9.54,117.7935,86.5,2.06,123 km BaratDaya Kab. Bima-NTB,
462,2026-03-15,18:18:36,-8.41,118.3842,110.8,2.5,17 km BaratLaut Kab. Dompu-NTB,
463,2026-03-15,18:45:09,-8.87,118.2805,139.8,1.66,32 km Selatan Kab. Bima-NTB,
469,2026-03-15,19:46:21,-8.58,118.0043,119.2,2.24,41 km Barat Kab. Bima-NTB,
479,2026-03-16,04:50:42,-9.03,118.1808,134.6,1.91,53 km BaratDaya Kab. Bima-NTB,
484,2026-03-16,10:42:44,-8.97,117.3134,97.4,1.98,54 km Selatan Kab. Sumbawa-NTB,
485,2026-03-16,10:42:46,-8.86,117.3132,91.4,1.63,42 km Selatan Kab. Sumbawa-NTB,
488,2026-03-16,12:30:03,-8.72,118.1018,140.8,2.06,33 km BaratDaya Kab. Bima-NTB,
489,2026-03-16,13:19:18,-8.29,118.4061,101.2,1.94,28 km Utara Kab. Dompu-NTB,
492,2026-03-16,14:14:01,-8.68,118.4495,145.4,1.81,12 km Tenggara Kab. Bima-NTB,
494,2026-03-16,15:10:34,-8.7,115.0524,142.4,1.95,15 km BaratDaya Kab. Badung-Bali,
501,2026-03-16,18:57:22,-8.6,119.0697,114.4,2.16,41 km Timur Kota Bima-NTB,
504,2026-03-16,19:49:03,-8.92,115.4362,84.0,1.86,37 km Tenggara Kota Denpasar-Bali,
529,2026-03-17,15:42:06,-8.33,117.7346,96.4,1.58,39 km TimurLaut Kab. Sumbawa-NTB,
531,2026-03-17,15:52:57,-8.23,118.3215,123.2,1.83,37 km BaratLaut Kab. Dompu-NTB,
535,2026-03-17,17:15:45,-8.62,116.3421,85.1,2.01,11 km TimurLaut Kab. Lombok Tengah-NTB,
537,2026-03-17,18:29:55,-8.72,117.5788,85.8,1.26,31 km Tenggara Kab. Sumbawa-NTB,
539,2026-03-17,19:05:33,-8.46,117.4424,112.8,1.68,4 km TimurLaut Kab. Sumbawa-NTB,
573,2026-03-18,11:27:29,-8.02,117.2413,296.8,2.57,56 km Utara Kab. Sumbawa-NTB,
576,2026-03-18,13:02:13,-8.79,114.8909,73.7,1.89,35 km BaratDaya Kab. Badung-Bali,
581,2026-03-18,16:08:54,-8.75,115.1266,107.1,1.73,13 km BaratDaya Kota Denpasar-Bali,
583,2026-03-18,17:38:05,-8.65,115.5121,109.0,1.41,17 km Tenggara Kab. Klungkung-Bali,
591,2026-03-18,19:20:30,-8.55,118.7984,67.4,1.76,13 km Tenggara Kota Bima-NTB,
592,2026-03-18,19:57:36,-8.69,116.3124,84.6,1.88,4 km Timur Kab. Lombok Tengah-NTB,
594,2026-03-18,21:06:16,-11.12,116.704,82.9,3.65,262 km Selatan Kab. Sumbawa Barat-NTB,
595,2026-03-18,21:14:21,-8.58,118.3692,113.3,1.76,2 km BaratLaut Kab. Bima-NTB,
605,2026-03-19,05:14:25,-9.22,117.0112,114.0,2.94,56 km Selatan Kab. Sumbawa Barat-NTB,
608,2026-03-19,08:39:52,-8.82,115.3135,81.8,1.89,20 km Tenggara Kota Denpasar-Bali,
612,2026-03-19,11:28:32,-8.76,117.1131,144.4,2.12,32 km Timur Kab. Sumbawa Barat-NTB,
615,2026-03-19,12:43:23,-8.45,118.9369,142.4,3.86,23 km Timur Kota Bima-NTB,
622,2026-03-19,17:20:11,-8.63,116.2303,92.3,1.9,9 km BaratLaut Kab. Lombok Tengah-NTB,
629,2026-03-19,19:04:00,-8.15,118.9043,133.3,1.94,39 km TimurLaut Kota Bima-NTB,
630,2026-03-19,19:31:53,-8.36,117.9561,135.7,1.54,53 km BaratLaut Kab. Bima-NTB,
640,2026-03-20,02:02:32,-8.64,116.3109,89.1,1.41,8 km TimurLaut Kab. Lombok Tengah-NTB,
641,2026-03-20,02:12:04,-8.71,114.9506,70.4,2.02,25 km BaratDaya Kab. Badung-Bali,
645,2026-03-20,04:36:02,-8.71,117.2327,148.6,1.88,32 km BaratDaya Kab. Sumbawa-NTB,
646,2026-03-20,04:45:17,-8.58,118.6161,180.7,1.59,17 km Timur Kab. Dompu-NTB,
652,2026-03-20,06:13:37,-8.47,117.7387,254.3,2.42,35 km Timur Kab. Sumbawa-NTB,
653,2026-03-20,08:02:28,-8.61,118.9323,130.4,2.3,28 km Tenggara Kota Bima-NTB,
664,2026-03-20,16:40:20,-8.37,115.1088,202.6,1.78,19 km Utara Kab. Tabanan-Bali,
670,2026-03-20,18:31:28,-8.52,117.8678,136.4,2.52,49 km Timur Kab. Sumbawa-NTB,
673,2026-03-20,23:04:45,-7.87,118.6173,141.9,1.88,66 km Utara Kota Bima-NTB,
691,2026-03-21,13:04:28,-8.57,116.8723,134.1,2.05,21 km Utara Kab. Sumbawa Barat-NTB,
693,2026-03-21,14:25:55,-8.41,119.1619,144.0,3.06,48 km Timur Kota Bima-NTB,
694,2026-03-21,14:40:18,-8.56,116.3375,92.4,1.3,17 km TimurLaut Kab. Lombok Tengah-NTB,
701,2026-03-21,17:24:34,-8.61,117.8733,252.3,1.96,52 km Timur Kab. Sumbawa-NTB,
703,2026-03-21,17:47:04,-8.64,116.2474,97.8,1.98,7 km BaratLaut Kab. Lombok Tengah-NTB,
704,2026-03-21,17:49:28,-8.75,118.9094,89.5,1.7,38 km Tenggara Kota Bima-NTB,
728,2026-03-22,11:29:46,-8.79,118.8967,119.9,2.05,41 km Tenggara Kota Bima-NTB,
731,2026-03-22,12:10:27,-8.62,118.0705,145.3,2.14,34 km Barat Kab. Bima-NTB,
733,2026-03-22,14:04:48,-9.34,117.0809,63.1,2.23,71 km Tenggara Kab. Sumbawa Barat-NTB,
743,2026-03-22,19:20:29,-7.93,119.4082,275.1,2.39,82 km BaratLaut Kab. Manggarai Barat-NTT,
748,2026-03-22,23:03:11,-8.6,115.4546,81.3,1.92,9 km Tenggara Kab. Klungkung-Bali,
759,2026-03-23,12:48:08,-8.56,117.9353,61.8,2.1,49 km Barat Kab. Bima-NTB,
760,2026-03-23,13:11:51,-8.54,118.5372,170.7,2.17,8 km Timur Kab. Dompu-NTB,
761,2026-03-23,14:11:30,-8.57,117.9335,184.3,1.97,49 km Barat Kab. Bima-NTB,
768,2026-03-23,18:14:50,-8.7,116.2388,98.4,1.85,4 km Barat Kab. Lombok Tengah-NTB,
770,2026-03-23,18:26:01,-8.63,116.0237,85.2,1.97,9 km BaratDaya Kota Mataram-NTB,
774,2026-03-23,20:00:32,-8.74,115.7051,98.3,2.53,34 km Selatan Kab. Karangasem-Bali,
775,2026-03-23,20:44:59,-8.14,115.8563,232.5,2.69,43 km TimurLaut Kab. Karangasem-Bali,
778,2026-03-23,21:10:21,-8.67,118.9929,96.1,2.5,37 km Tenggara Kota Bima-NTB,
779,2026-03-23,21:15:53,-8.85,117.016,132.4,1.75,24 km Tenggara Kab. Sumbawa Barat-NTB,
783,2026-03-24,02:52:24,-9.13,117.9246,156.7,2.0,77 km BaratDaya Kab. Bima-NTB,
784,2026-03-24,03:26:55,-8.23,118.1037,164.0,1.91,50 km BaratLaut Kab. Bima-NTB,
790,2026-03-24,10:32:00,-8.2,118.8809,65.6,2.34,33 km TimurLaut Kota Bima-NTB,
792,2026-03-24,10:59:14,-9.0,117.0456,69.8,2.02,37 km Tenggara Kab. Sumbawa Barat-NTB,
798,2026-03-24,14:37:55,-8.69,117.2596,114.2,2.04,28 km BaratDaya Kab. Sumbawa-NTB,
800,2026-03-24,15:11:47,-8.36,118.3526,114.4,1.99,23 km BaratLaut Kab. Dompu-NTB,
808,2026-03-24,17:30:28,-8.5,116.3399,97.8,1.64,19 km Tenggara Kab. Lombok Utara-NTB,
809,2026-03-24,17:33:25,-8.85,116.4258,95.2,1.14,23 km Tenggara Kab. Lombok Tengah-NTB,
814,2026-03-24,20:21:28,-8.7,116.295,94.5,2.63,2 km Timur Kab. Lombok Tengah-NTB,
843,2026-03-25,19:39:29,-8.81,119.0009,94.5,2.16,49 km Tenggara Kota Bima-NTB,
869,2026-03-26,15:18:25,-8.59,115.6807,81.8,2.04,17 km Tenggara Kab. Karangasem-Bali,
873,2026-03-26,16:58:14,-8.68,118.3153,108.7,1.91,12 km BaratDaya Kab. Bima-NTB,
876,2026-03-26,18:07:33,-8.3,118.3288,116.0,2.01,30 km BaratLaut Kab. Dompu-NTB,
897,2026-03-27,00:41:57,-9.25,117.6308,108.6,2.42,87 km Selatan Kab. Sumbawa-NTB,
898,2026-03-27,03:00:22,-8.89,117.1301,146.7,3.13,37 km Tenggara Kab. Sumbawa Barat-NTB,
907,2026-03-27,08:04:39,-9.79,117.9063,77.0,2.41,142 km Selatan Kab. Bima-NTB,
911,2026-03-27,09:58:02,-8.64,118.3745,116.0,2.06,5 km Selatan Kab. Bima-NTB,
915,2026-03-27,11:34:58,-8.55,117.8612,83.6,1.42,49 km Timur Kab. Sumbawa-NTB,
919,2026-03-27,18:19:47,-8.81,118.7851,94.5,2.28,39 km Selatan Kota Bima-NTB,
922,2026-03-27,19:26:04,-8.26,118.6754,180.0,2.38,23 km Utara Kota Bima-NTB,
928,2026-03-27,22:24:29,-8.68,114.9711,90.1,2.08,21 km BaratDaya Kab. Badung-Bali,
929,2026-03-28,00:54:31,-8.56,118.473,120.0,2.16,3 km Selatan Kab. Dompu-NTB,
932,2026-03-28,04:19:39,-8.7,118.4485,111.2,2.09,14 km Tenggara Kab. Bima-NTB,
951,2026-03-28,19:18:09,-8.41,116.8539,287.3,2.46,38 km Utara Kab. Sumbawa Barat-NTB,
952,2026-03-28,19:22:31,-8.45,118.4006,115.9,2.45,12 km BaratLaut Kab. Dompu-NTB,
955,2026-03-28,21:19:33,-8.98,115.678,74.1,2.22,57 km Tenggara Kab. Klungkung-Bali,
958,2026-03-28,22:49:33,-9.76,117.9297,70.2,2.62,138 km Selatan Kab. Bima-NTB,
