119.3463  -9.8379  10.0  3.1
115.8794  -8.3542  15.0  2.1
116.0663  -8.6523  86.0  2.4
121.2757  -9.5272  92.0  4.4
118.8468  -10.1201  10.0  2.5
118.8929  -9.1272  55.0  2.7
117.0131  -9.5718  26.0  2.8
117.5884  -9.7168  10.0  4.0
117.5155  -9.6004  27.0  4.0
116.4292  -8.3226  16.0  2.0
116.4424  -8.3248  10.0  2.0
114.1531  -7.9544  14.0  2.3
119.1272  -8.9167  119.0  3.2
119.7508  -8.2956  166.0  2.1
118.8956  -9.8701  11.0  4.0
118.8885  -9.8918  10.0  2.0
116.2012  -8.4142  12.0  2.2
116.176  -8.9448  10.0  2.4
118.8223  -10.0592  10.0  2.2
119.0462  -7.7329  34.0  2.3
114.9636  -8.3217  12.0  1.7
117.7185  -7.721  10.0  2.3
118.7765  -7.7278  21.0  3.0
120.3317  -9.1546  10.0  2.4
114.6687  -7.2806  16.0  2.8
116.4052  -8.3289  18.0  2.1
115.9859  -7.6069  30.0  2.7
123.6981  -9.2202  36.0  2.5
110.9555  -8.1652  139.0  4.0
119.0317  -8.5544  121.0  3.3
119.1248  -7.7717  20.0  2.6
116.8775  -7.9031  79.0  2.7
115.6206  -8.1162  10.0  2.3
118.5996  -9.6922  17.0  3.1
114.9531  -8.2968  11.0  1.8
118.8368  -9.9035  18.0  2.5
119.3116  -9.7284  11.0  2.2
117.128  -9.1301  11.0  2.6
115.3505  -8.2579  16.0  1.8
119.249  -8.7222  93.0  2.7
116.2445  -8.6979  93.0  2.4
116.091  -8.5993  22.0  1.7
119.7501  -9.4213  50.0  2.6
119.01  -7.7678  35.0  2.5
115.0004  -8.4531  16.0  1.4
118.6961  -7.7268  23.0  2.1
119.0728  -9.4592  60.0  2.8
120.1735  -8.2592  163.0  3.1
118.0816  -8.7149  145.0  2.5
118.9844  -9.3595  71.0  2.2
119.435  -9.1139  60.0  3.2
117.683  -8.2581  23.0  2.4
114.1702  -9.3771  10.0  2.9
114.0607  -9.3935  29.0  3.1
118.8811  -8.5054  10.0  2.1
116.702  -8.6515  20.0  1.7
118.1538  -8.0177  14.0  4.3
118.1501  -8.0346  13.0  3.3
119.1646  -9.2355  44.0  3.2
118.1462  -8.0365  10.0  3.1
118.1487  -8.0972  14.0  3.0
118.1692  -8.055  10.0  2.8
117.7594  -7.9354  12.0  3.2
117.731  -8.0158  15.0  2.8
119.0302  -8.7649  100.0  2.4
119.9899  -8.3085  165.0  2.9
117.7154  -7.9467  12.0  2.4
114.0578  -9.3624  23.0  3.9
119.0049  -9.2624  56.0  2.7
118.3569  -8.6449  104.0  2.5
118.7766  -9.9764  22.0  2.3
117.9272  -8.2032  14.0  2.7
115.2851  -9.5468  27.0  2.7
118.7409  -10.2282  10.0  2.4
117.3444  -9.4175  11.0  2.3
119.6307  -9.0706  80.0  2.0
118.5728  -8.3221  26.0  2.5
116.7568  -8.6818  20.0  1.2
115.5298  -8.517  10.0  2.7
117.891  -8.0924  14.0  3.1
116.0488  -8.3828  14.0  2.1
117.5169  -8.4485  82.0  1.5
114.9538  -9.4865  19.0  3.3
118.8834  -9.9083  24.0  2.1
119.3122  -9.841  45.0  2.3
114.0403  -8.4584  10.0  2.3
118.1368  -8.8564  10.0  2.0
118.9556  -7.7767  24.0  2.6
118.9352  -8.9738  77.0  3.3
116.2739  -8.6753  10.0  2.2
118.7313  -7.7795  28.0  3.1
117.8135  -7.8984  10.0  2.4
116.9845  -9.5248  33.0  3.4
117.9252  -8.1009  12.0  2.5
114.0598  -9.3115  28.0  4.3
116.3064  -8.6633  99.0  2.3
117.3385  -9.7495  10.0  2.5
119.9689  -8.3179  173.0  2.6
118.8541  -7.7892  23.0  2.8
120.6365  -9.705  48.0  2.3
114.1188  -7.2276  10.0  3.7
119.8684  -8.3159  152.0  2.5
119.5975  -8.3359  142.0  2.8
114.1663  -7.2606  10.0  4.1
112.5673  -10.2021  18.0  3.4
121.3527  -8.3804  10.0  2.5
116.5349  -9.1989  54.0  2.1
114.9595  -8.8284  97.0  2.8
116.3023  -8.7142  102.0  2.5
120.5086  -8.7251  111.0  2.8
119.2218  -9.0489  11.0  2.4
119.8687  -9.2777  27.0  2.3
121.4397  -8.4861  174.0  3.5
114.1432  -7.2558  10.0  3.4
117.7789  -8.1056  19.0  2.4
119.1597  -9.9449  10.0  3.0
116.396  -10.1559  10.0  3.5
116.0378  -8.6129  134.0  2.5
116.1805  -8.8014  10.0  2.6
118.392  -8.7951  10.0  2.6
116.2651  -8.6605  13.0  2.2
116.85  -9.279  111.0  2.9
119.2371  -9.7842  10.0  2.8
119.5552  -9.6135  47.0  2.9
118.8279  -10.0834  10.0  2.8
115.2175  -9.3775  35.0  2.9
119.8354  -9.7298  30.0  2.7
118.9  -9.0272  10.0  2.3
117.5672  -7.9566  14.0  2.4
118.9496  -8.6099  111.0  2.8
118.4096  -8.6239  110.0  4.1
118.9944  -8.7985  10.0  2.8
117.7216  -9.4303  31.0  2.9
119.2286  -10.1987  11.0  2.8
116.3011  -8.6243  89.0  1.6
119.3645  -8.4274  130.0  2.3
118.9562  -9.026  64.0  2.1
118.1278  -9.2415  11.0  2.0
116.0772  -8.2843  10.0  2.6
118.7805  -10.1541  10.0  2.8
120.0349  -8.1883  168.0  3.1
117.8829  -8.8555  12.0  2.4
115.558  -8.6716  80.0  2.3
120.6631  -9.3214  61.0  3.4
118.6221  -7.9412  28.0  2.3
118.5794  -9.6965  28.0  2.5
116.7237  -8.9239  29.0  2.4
113.5246  -9.1822  13.0  2.4
113.6411  -8.6955  104.0  3.4
113.8253  -11.5149  10.0  3.8
119.7702  -9.8399  24.0  3.6
117.6675  -9.4271  20.0  2.5
123.6809  -7.8841  20.0  3.4
119.136  -7.8224  14.0  2.8
117.4506  -8.6647  16.0  2.5
114.1712  -9.3088  25.0  3.0
117.5979  -8.2174  14.0  3.2
121.8016  -9.7556  10.0  3.2
119.6666  -8.9593  90.0  2.7
116.7139  -10.8657  56.0  3.4
119.4815  -9.9252  13.0  2.5
120.3253  -7.5369  17.0  2.0
116.0228  -8.4169  10.0  2.2
116.8769  -9.8237  19.0  2.8
118.3964  -8.5562  111.0  2.9
114.0852  -9.6367  10.0  3.2
118.3865  -8.5342  120.0  3.1
113.8619  -8.8186  21.0  2.4
115.1056  -8.4965  191.0  3.2
118.9856  -8.8439  104.0  3.1
118.9024  -7.795  31.0  3.2
116.6267  -10.7514  58.0  3.1
118.3344  -8.6014  102.0  2.6
115.2633  -9.3955  28.0  2.4
119.1096  -9.9069  19.0  2.2
118.9516  -8.7592  84.0  2.5
121.0826  -8.6959  143.0  2.8
117.4956  -8.3967  10.0  2.5
119.6607  -9.0376  12.0  2.7
118.3542  -9.6545  32.0  2.2
120.2689  -9.339  61.0  2.3
119.353  -7.5689  223.0  2.7
113.4589  -9.2923  14.0  2.2
119.3568  -8.4984  123.0  2.7
118.7263  -10.6768  124.0  3.0
118.8178  -9.0335  56.0  2.4
113.3905  -9.2012  75.0  3.0
118.7323  -9.9234  25.0  2.6
118.1942  -8.6163  131.0  3.2
119.1292  -10.2985  10.0  2.4
117.4837  -8.4796  128.0  2.3
116.8251  -8.6637  11.0  2.1
117.793  -8.0903  12.0  2.6
118.0844  -8.2635  10.0  2.4
115.1673  -9.3944  37.0  2.9
117.7096  -8.1294  10.0  2.3
118.4014  -8.5487  112.0  2.9
118.2417  -11.095  10.0  2.9
116.065  -8.4025  11.0  2.6
117.4586  -8.1648  304.0  2.6
116.6133  -9.3139  33.0  2.3
118.59  -9.6504  50.0  2.8
119.2302  -8.5205  116.0  2.7
119.2387  -10.0773  10.0  2.2
118.184  -10.9278  108.0  3.2
117.69  -7.9886  11.0  2.4
118.5638  -8.649  158.0  2.6
119.8307  -8.2268  29.0  2.4
118.9981  -9.1775  38.0  2.2
119.2389  -9.9572  10.0  2.3
117.6978  -8.1433  246.0  3.2
117.888  -8.1399  11.0  2.3
117.5185  -7.9265  17.0  2.8
117.9286  -9.659  10.0  3.2
119.1488  -10.2131  10.0  2.9
116.1321  -8.599  115.0  2.1
118.3547  -8.5255  114.0  3.0
117.8947  -9.4377  10.0  2.4
119.0854  -9.9857  10.0  2.4
113.1401  -9.1407  10.0  2.9
118.6781  -9.2019  31.0  2.1
118.834  -9.6175  53.0  2.2
118.5557  -9.175  16.0  2.9
115.5726  -9.326  44.0  4.0
119.056  -9.8021  49.0  2.4
118.3954  -11.238  53.0  4.1
119.8145  -8.2694  157.0  2.7
116.385  -8.6319  104.0  3.2
118.1422  -8.0779  16.0  4.0
118.1283  -8.1704  10.0  2.4
119.276  -10.1283  17.0  2.8
120.2145  -9.145  22.0  3.0
114.1152  -10.6394  10.0  4.0
118.0692  -8.0405  16.0  2.7
119.4618  -9.8947  23.0  3.1
116.5567  -8.5327  97.0  2.2
118.3725  -8.53  117.0  2.5
118.0456  -9.6553  10.0  2.2
118.4688  -11.036  10.0  2.8
118.8419  -9.3391  61.0  2.6
118.9922  -9.8453  16.0  2.2
116.8862  -9.0109  10.0  2.3
115.1635  -8.4997  20.0  1.9
118.0283  -8.6661  10.0  2.4
117.8851  -7.8922  10.0  2.8
118.5654  -8.1567  14.0  2.6
119.6603  -9.0344  10.0  3.2
119.1752  -10.0429  23.0  3.3
119.6553  -9.0642  14.0  2.2
119.6989  -9.0512  13.0  2.1
119.6482  -9.0585  10.0  2.1
119.1748  -10.0176  14.0  3.5
119.1014  -9.2893  42.0  2.3
119.0351  -9.5124  40.0  2.8
115.1747  -8.4912  17.0  2.2
119.6749  -9.0612  10.0  2.0
118.5691  -7.7473  22.0  2.5
118.9157  -7.835  35.0  2.8
119.6415  -9.0524  12.0  2.2
119.6517  -9.041  15.0  2.4
119.6679  -9.0283  12.0  2.3
118.6224  -8.2122  20.0  2.2
119.2763  -8.6131  108.0  2.7
114.2778  -9.3436  27.0  2.5
119.6566  -9.0406  11.0  2.4
119.1209  -8.6497  86.0  2.1
118.6066  -9.5248  57.0  2.4
118.822  -9.9304  17.0  2.9
118.8331  -10.0159  10.0  3.1
119.6478  -9.0547  10.0  3.5
123.7785  -9.2286  70.0  2.7
116.188  -8.298  12.0  2.4
117.7269  -8.2  12.0  2.5
115.8535  -9.4936  38.0  2.5
118.253  -8.4416  114.0  2.2
118.9048  -7.7518  28.0  2.2
116.6551  -9.4107  20.0  3.1
116.4871  -11.1886  37.0  3.2
119.7569  -8.3713  151.0  2.2
118.6715  -8.4346  136.0  2.5
115.1768  -9.3589  39.0  2.6
118.8247  -8.687  126.0  2.4
119.1338  -9.9347  10.0  2.6
119.0689  -9.7456  11.0  2.5
119.0825  -9.7942  27.0  2.1
118.6498  -9.5433  75.0  2.3
116.7765  -8.7199  28.0  1.9
116.0391  -8.7002  90.0  2.7
119.658  -9.0731  19.0  3.5
118.7015  -9.2543  69.0  2.2
119.2924  -8.5727  111.0  2.3
116.5177  -9.5562  34.0  3.7
116.7257  -8.2819  14.0  2.7
119.6921  -9.0438  16.0  2.2
115.3338  -8.1886  19.0  1.9
117.4064  -8.1707  105.0  2.2
119.3102  -9.0638  59.0  2.3
119.6433  -9.0388  10.0  2.9
116.3017  -8.6834  83.0  2.1
116.2865  -8.6874  14.0  1.9
118.8018  -9.5326  46.0  2.8
119.1742  -9.5403  29.0  2.9
119.0232  -8.774  88.0  2.6
116.9923  -8.2725  290.0  2.7
119.6612  -9.0401  10.0  1.9
114.429  -7.8535  15.0  2.8
115.0587  -8.2642  20.0  1.3
117.5074  -9.1233  68.0  2.3
119.6753  -9.0472  15.0  2.8
119.7377  -8.2969  130.0  2.3
119.2578  -9.8354  33.0  2.3
124.0582  -9.0561  90.0  3.3
117.6545  -8.5605  27.0  2.3
119.8107  -9.1108  10.0  3.5
119.6504  -9.0352  11.0  2.8
120.4517  -7.4067  516.0  3.4
119.6443  -9.0276  10.0  3.2
113.939  -7.3824  14.0  2.5
119.6609  -9.0397  13.0  2.6
120.5361  -8.3234  14.0  2.5
119.6526  -9.0262  10.0  2.3
119.5891  -10.2663  23.0  2.6
120.4678  -8.7253  128.0  3.8
118.9353  -7.7795  27.0  2.9
117.0595  -9.5105  18.0  2.6
119.3754  -9.3759  32.0  2.4
117.4454  -9.0737  10.0  2.4
119.6464  -9.0267  10.0  2.7
114.7395  -8.4639  164.0  2.5
116.5177  -9.5042  37.0  2.3
118.6484  -8.9515  10.0  2.4
117.2088  -6.88  488.0  3.7
118.9897  -9.1203  73.0  2.4
116.8154  -11.0004  10.0  3.2
118.5047  -9.6675  32.0  2.1
118.1919  -8.557  19.0  2.3
117.7656  -8.0498  73.0  2.4
116.9977  -7.2269  21.0  3.0
117.5802  -8.0108  17.0  2.2
117.5575  -8.8251  156.0  3.0
117.2341  -8.0751  24.0  2.5
114.4813  -9.5321  52.0  2.6
117.0779  -9.0847  12.0  1.8
117.0785  -9.518  33.0  2.7
116.5317  -9.4517  31.0  3.9
117.6924  -9.4603  33.0  3.1
119.6839  -9.0695  18.0  2.2
119.659  -9.0527  10.0  2.5
118.4596  -11.0827  19.0  2.7
119.883  -9.2019  26.0  2.2
