220.257384735	10	3.1
348.951635243	15	2.1
317.982090053	86	2.4
184.085856502	10	2.5
294.633389477	55	2.7
226.254338823	26	2.8
216.150643989	10	4
228.293110421	27	4
358.358631143	16	2
358.256024259	10	2
374.088737915	14	2.3
320.294526914	119	3.2
395.32998597	166	2.1
212.286718176	11	4
209.810688603	10	2
345.780941618	12	2.2
286.792103245	10	2.4
190.598074147	10	2.2
450.751636842	34	2.3
342.516078017	12	1.7
438.517854931	10	2.3
448.598909355	21	3
454.444038115	16	2.8
357.405147131	18	2.1
432.798457273	30	2.7
359.523100151	121	3.3
447.238387086	20	2.6
409.551169412	79	2.7
372.475990413	10	2.3
229.084261513	17	3.1
345.15491228	11	1.8
208.004874922	18	2.5
232.068784509	11	2.2
276.353713985	11	2.6
353.842546497	16	1.8
343.068446221	93	2.7
314.849522558	93	2.4
324.112952171	22	1.7
446.518669656	35	2.5
328.384260999	16	1.4
447.896028221	23	2.1
259.594768233	60	2.8
332.167043581	145	2.5
269.780724513	71	2.2
301.444622969	60	3.2
378.670731175	23	2.4
216.84018039	10	2.9
213.781396238	29	3.1
363.453741746	10	2.1
324.856294072	20	1.7
410.14102024	14	4.3
408.230965128	13	3.3
285.306642141	44	3.2
407.98056045	10	3.1
401.281802704	14	3
406.166487227	10	2.8
415.198115781	12	3.2
406.000406037	15	2.8
336.16736018	100	2.4
413.491329518	12	2.4
217.189861926	23	3.9
280.750427704	56	2.7
342.719109967	104	2.5
199.329086215	22	2.3
387.268556967	14	2.7
210.511178422	27	2.7
171.05949648	10	2.4
246.781611176	11	2.3
308.155706047	80	2
380.673510776	26	2.5
322.082031835	20	1.2
327.136021278	10	2.7
399.168336366	14	3.1
347.616565175	14	2.1
355.866387318	82	1.5
213.52565446	19	3.3
207.930937609	24	2.1
219.582738725	45	2.3
317.031860997	10	2.3
317.052749397	10	2
444.984951331	24	2.6
312.061435402	77	3.3
317.66542506	10	2.2
442.411560929	28	3.1
419.855117885	10	2.4
231.15875743	33	3.4
398.578907576	12	2.5
222.845139434	28	4.3
319.341202093	99	2.3
209.958414256	10	2.5
442.576801993	23	2.8
454.143497001	10	3.7
389.353798048	142	2.8
451.026575202	10	4.1
106.888820511	18	3.4
262.498645703	54	2.1
286.404510619	97	2.8
313.664338451	102	2.5
306.565240559	11	2.4
451.297413126	10	3.4
396.550418164	19	2.4
206.574598855	10	3
155.107474249	10	3.5
322.035161118	134	2.5
302.709598033	10	2.6
326.430285839	10	2.6
319.209079337	13	2.2
256.959260689	111	2.9
225.153993858	10	2.8
247.178093581	47	2.9
187.969749186	10	2.8
228.499783339	35	2.9
305.791235997	10	2.3
410.857725057	14	2.4
352.551858815	111	2.8
345.579299338	110	4.1
332.086265407	10	2.8
249.245919721	31	2.9
179.089549636	11	2.8
323.600561921	89	1.6
376.907059571	130	2.3
306.481910151	64	2.1
274.295850814	11	2
358.822634943	10	2.6
179.66474483	10	2.8
314.562737104	12	2.4
310.33730898	80	2.3
423.385249254	28	2.3
228.406757333	28	2.5
294.934932119	29	2.4
231.021133632	13	2.4
286.232027439	104	3.4
-23.6393494786	10	3.8
249.046255196	20	2.5
441.728989722	14	2.8
331.23871859	16	2.5
224.409280236	25	3
382.296878589	14	3.2
320.855864891	90	2.7
79.8918381906	56	3.4
211.877819946	13	2.5
343.562768167	10	2.2
196.944381896	19	2.8
352.947698284	111	2.9
187.14867671	10	3.2
355.285282547	120	3.1
275.136250288	21	2.4
324.745460181	191	3.2
326.964901622	104	3.1
442.420697327	31	3.2
91.6304427833	58	3.1
347.311282051	102	2.6
227.012054315	28	2.4
210.30120264	19	2.2
336.018353961	84	2.5
361.381308241	10	2.5
312.109281388	12	2.7
230.813597689	32	2.2
472.010540552	223	2.7
218.075698393	14	2.2
368.955630154	123	2.7
121.17672677	124	3
304.275593261	56	2.4
227.367160704	75	3
204.768366804	25	2.6
344.237043706	131	3.2
167.055458526	10	2.4
352.078250021	128	2.3
324.806589262	11	2.1
398.390466871	12	2.6
382.201418637	10	2.4
226.076862637	37	2.9
393.198499129	10	2.3
353.829383357	112	2.9
70.0484997158	10	2.9
345.611108478	11	2.6
386.674684261	304	2.6
250.600783946	33	2.3
233.622251368	50	2.8
365.252774811	116	2.7
192.6550736	10	2.2
88.0061709947	108	3.2
408.588193613	11	2.4
344.353384403	158	2.6
290.097747492	38	2.2
205.980282538	10	2.3
391.537113165	246	3.2
393.876431873	11	2.3
413.684263057	17	2.8
226.022893922	10	3.2
176.718678178	10	2.9
324.588131282	115	2.1
355.927134103	114	3
250.193098263	10	2.4
201.325044588	10	2.4
231.152967961	10	2.9
284.215487329	31	2.1
239.688395898	53	2.2
285.974102296	16	2.9
238.08754953	44	4
221.400872604	49	2.4
55.7147421903	53	4.1
323.656098131	104	3.2
403.3533443	16	4
392.964009512	10	2.4
187.358424348	17	2.8
76.5443914511	10	4
406.748449243	16	2.7
215.072253419	23	3.1
336.464005019	97	2.2
355.6088772	117	2.5
227.61826359	10	2.2
78.8283431255	10	2.8
270.633762912	61	2.6
